1. eps=0.03, c=0.6, k=1.5, d=0.2, score=0.053943, peak_std=0.018871, dist_ratio=2.242e+00
2. eps=0.03, c=0.6, k=0.6, d=0.05, score=0.043784, peak_std=0.003903, dist_ratio=2.505e+00
3. eps=0.05, c=0.6, k=0.6, d=0.2, score=0.041571, peak_std=0.015170, dist_ratio=1.837e+00
4. eps=0.03, c=0.6, k=0.6, d=0.02, score=0.037360, peak_std=0.000618, dist_ratio=2.330e+00
5. eps=0.08, c=0.6, k=0.6, d=0.2, score=0.031837, peak_std=0.006609, dist_ratio=1.788e+00
6. eps=0.08, c=0.6, k=0.6, d=0.1, score=0.027561, peak_std=0.002277, dist_ratio=1.790e+00
7. eps=0.05, c=0.6, k=1.5, d=0.1, score=0.026104, peak_std=0.004569, dist_ratio=1.642e+00
8. eps=0.08, c=1.2, k=0.6, d=0.05, score=0.025597, peak_std=0.000665, dist_ratio=1.775e+00
9. eps=0.12, c=1.2, k=0.9, d=0.05, score=0.024890, peak_std=0.000728, dist_ratio=1.744e+00
10. eps=0.03, c=0.9, k=0.9, d=0.2, score=0.024809, peak_std=0.019381, dist_ratio=1.133e+00
11. eps=0.12, c=0.9, k=0.9, d=0.2, score=0.024461, peak_std=0.002081, dist_ratio=1.674e+00
12. eps=0.08, c=1.2, k=0.6, d=0.02, score=0.023999, peak_std=0.002214, dist_ratio=1.651e+00
