model_name,train_seed,node,method,test_seed,mismatch,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
linear_gain_8,-1,2,Linear,100,0.0,-1,3.024576160675867,3.978777467859981,9.073728482027601,10.184045394445643,13.014389485120773,1.604816035439546,59.7331444380375,0.005
lqr_node2_q1_r1,-1,2,LQR,100,0.0,-1,0.039891310170597105,0.1758914884532418,0.1196739305117913,2.9156145490246054e-07,1.1920928955078125e-07,0.01770788123337711,0.11359332815652486,0.0
zero_input,-1,2,Zero Input,100,0.0,-1,0.40642474855413213,0.5967755780266674,1.2192742456623964,2.1156066711762067,4.110799551010132,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,101,0.0,-1,2.058640364089908,2.946332562314901,6.175921092269724,8.441848872620383,7.77056972682476,1.208721336283886,38.500930763685886,0.0
lqr_node2_q1_r1,-1,2,LQR,101,0.0,-1,0.019031788669476257,0.07043030734396469,0.057095366008428766,1.8338431362752562e-07,1.6205012798309326e-07,0.02431365363685615,0.515950011658273,0.0
zero_input,-1,2,Zero Input,101,0.0,-1,0.4296838420002736,0.5671563268099559,1.2890515260008208,1.4154057254853807,0.5691761821508408,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,102,0.0,-1,2.4034244597410273,3.1675848026506914,7.210273379223082,6.7318031151353575,4.307377576828003,1.3688218520020605,43.069500445752034,0.0
lqr_node2_q1_r1,-1,2,LQR,102,0.0,-1,0.07351619550710155,0.25016716668357153,0.22054858652130466,5.503570270023228e-08,0.0,0.0907323790218887,3.5762630772842616,0.005
zero_input,-1,2,Zero Input,102,0.0,-1,1.3801103574367037,1.8875115033972738,4.140331072310111,4.577597091963262,1.7593262791633606,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,103,0.0,-1,2.409727697856012,3.2294014053516453,7.229183093568036,7.081603825460245,6.2139312624931335,1.4246170609966478,47.486742978992794,0.01
lqr_node2_q1_r1,-1,2,LQR,103,0.0,-1,0.0966143471682181,0.2843115076683705,0.2898430415046543,3.03013273227362e-07,0.0,0.10137642754722458,5.028465392496943,0.01
zero_input,-1,2,Zero Input,103,0.0,-1,0.9677090703425364,1.5590418167735105,2.903127211027609,1.0008292359610398,1.8562398701906204,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,104,0.0,-1,3.1862966653024616,4.201990236366748,9.558889995907384,7.8522528895625365,8.159488677978516,1.6616788609812683,65.41815111866852,0.0025
lqr_node2_q1_r1,-1,2,LQR,104,0.0,-1,0.1418770228037247,0.49410450340179723,0.42563106841117404,1.7554855641023612e-07,0.0,0.1616634911666214,8.830092997531619,0.02
zero_input,-1,2,Zero Input,104,0.0,-1,1.725490021769806,2.396972590143654,5.176470065309418,1.776610791918902,0.331483855843544,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,105,0.0,-1,2.175628248547186,3.2836685879258325,6.526884745641558,9.165135888129841,8.129596203565598,1.2135938968778845,43.64892444445912,0.0075
lqr_node2_q1_r1,-1,2,LQR,105,0.0,-1,0.02036829702889025,0.08863313227987847,0.06110489108667075,0.0,0.0,0.082144861011212,4.632174154264737,0.01
zero_input,-1,2,Zero Input,105,0.0,-1,1.2061180838245158,1.612890924882412,3.6183542514735474,2.702920773744951,2.0153133273124695,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,106,0.0,-1,2.510906740713397,3.3604715639933116,7.532720222140191,8.297488565062299,8.552397713065147,1.4904421110105635,52.2576284236394,0.0125
lqr_node2_q1_r1,-1,2,LQR,106,0.0,-1,0.14377378944568073,0.4358584198538221,0.4313213683370422,2.5219008050583026e-08,9.313225746154785e-09,0.14638978585779638,7.149826920179432,0.015
zero_input,-1,2,Zero Input,106,0.0,-1,1.3495802846787526,1.9232666942382515,4.048740854036258,1.4320553475875912,0.43511155247688293,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,107,0.0,-1,3.221120757449508,4.155071569352473,9.663362272348524,8.89669989619726,10.702310934662819,1.6574401940565158,58.46868488745447,0.0
lqr_node2_q1_r1,-1,2,LQR,107,0.0,-1,0.10603271361888662,0.34892348252280075,0.3180981408566599,0.0,0.0,0.09288029666051033,3.23970039234855,0.005
zero_input,-1,2,Zero Input,107,0.0,-1,1.1513269819405956,1.578078222711421,3.4539809458217863,2.0366173005306427,2.9031088948249817,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,108,0.0,-1,1.568472823693246,2.4059008155462926,4.705418471079738,8.86268252796597,8.57878851890564,0.9720103074041685,29.480703844476558,0.005
lqr_node2_q1_r1,-1,2,LQR,108,0.0,-1,0.02510613458867263,0.1025170587339713,0.0753184037660179,0.0,0.0,0.04547792366119626,1.3609925464607189,0.0
zero_input,-1,2,Zero Input,108,0.0,-1,1.2543688505262458,1.6328543602987722,3.7631065515787374,2.44482383729867,2.8896985054016113,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,109,0.0,-1,2.751229035357634,3.7092730891904435,8.253687106072903,10.324920701483885,8.097298428416252,1.4847271351742923,52.83126700147713,0.0
lqr_node2_q1_r1,-1,2,LQR,109,0.0,-1,0.10288624837142991,0.3554414453368129,0.30865874511428976,1.0081279424973476e-07,0.0,0.09176378788263082,3.0387678470005297,0.0025
zero_input,-1,2,Zero Input,109,0.0,-1,0.9206057174776929,1.2961524079992337,2.761817152433079,1.5211677220132616,1.5564788579940796,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,110,0.0,-1,2.4744573435556463,3.4430361118119346,7.423372030666939,4.715916304492656,7.3425301015377045,1.396200358124445,47.520129362088745,0.0025
lqr_node2_q1_r1,-1,2,LQR,110,0.0,-1,0.052116055007488254,0.14263748079810554,0.15634816502246476,5.950806317506013e-07,5.066394805908203e-07,0.05987483644677867,2.3017482353466447,0.0
zero_input,-1,2,Zero Input,110,0.0,-1,1.1549123730820139,1.5074629907714965,3.464737119246042,3.6708014234900475,0.7916575521230698,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,111,0.0,-1,3.2176834587828376,4.260614506910233,9.653050376348514,8.444396057430609,8.21026062965393,1.693680078757374,68.72531117122517,0.0075
lqr_node2_q1_r1,-1,2,LQR,111,0.0,-1,0.24105213906625456,0.7415463537478745,0.7231564171987637,3.2226348088847266e-07,3.632158041000366e-08,0.22099242590606574,11.998846220037478,0.025
zero_input,-1,2,Zero Input,111,0.0,-1,1.884272232170953,2.5623651158855454,5.652816696512859,2.8140771912617817,0.4234291836619377,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,112,0.0,-1,1.8438183553423966,2.4284927012730755,5.531455066027189,6.052350237321707,4.826967179775238,1.2381007935935422,37.199013537834865,0.015
lqr_node2_q1_r1,-1,2,LQR,112,0.0,-1,0.023079227047630973,0.11535412865827065,0.06923768114289292,0.0,0.0,0.07174857062992476,2.117930294071621,0.0
zero_input,-1,2,Zero Input,112,0.0,-1,1.4550821192300138,2.010703858697085,4.365246357690041,2.8863927224352035,3.5848658084869385,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,113,0.0,-1,3.067236332939698,4.057325519012769,9.201708998819093,11.882729050553875,14.078050434589386,1.6628825330080237,65.90631237293938,0.0125
lqr_node2_q1_r1,-1,2,LQR,113,0.0,-1,0.22123793721104587,0.6877217431059071,0.6637138116331376,2.5058901052416107e-07,0.0,0.13537330874449455,5.522304590169614,0.01
zero_input,-1,2,Zero Input,113,0.0,-1,1.2788757888673001,1.7288971445515444,3.8366273666019004,2.7911294144980703,3.8405423164367676,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,114,0.0,-1,2.026320650043308,2.917686219157967,6.078961950129925,8.206096147865425,7.6930635422468185,1.2325981111449196,41.04460956721761,0.0075
lqr_node2_q1_r1,-1,2,LQR,114,0.0,-1,0.01468362573380191,0.07552416485329377,0.044050877201405735,1.4396407354025194e-07,1.043081283569336e-07,0.04029422025302755,0.6734205523559615,0.0
zero_input,-1,2,Zero Input,114,0.0,-1,1.1579292463115474,1.5863048943187916,3.4737877389346425,3.2517210671471224,0.6919757425785065,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,115,0.0,-1,2.8706749334237722,3.8858268251771744,8.612024800271316,11.421672407859637,11.591358378529549,1.5853999161958099,59.114825495033045,0.0125
lqr_node2_q1_r1,-1,2,LQR,115,0.0,-1,0.05725272049131035,0.21272663724035484,0.17175816147393103,1.6269400531862989e-09,0.0,0.0460650328690428,0.5461353147233169,0.0
zero_input,-1,2,Zero Input,115,0.0,-1,1.5635057759880773,2.0882049980633584,4.690517327964232,5.5371301685586385,6.8718883991241455,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,116,0.0,-1,2.492086544063125,3.3478697523943706,7.476259632189375,11.657161667575071,11.29299595952034,1.4089710977012082,46.28872454410201,0.005
lqr_node2_q1_r1,-1,2,LQR,116,0.0,-1,0.0532568754769199,0.19296120810690554,0.1597706264307597,1.2914339701334635e-07,0.0,0.020601181692973654,0.11095648245996355,0.0
zero_input,-1,2,Zero Input,116,0.0,-1,0.8049969243966446,1.1473646445694394,2.414990773189934,4.649429913472246,5.60118955373764,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,117,0.0,-1,3.1250642755967646,4.1302779295926175,9.375192826790293,7.8507007893036915,8.14210295677185,1.6636785637782399,65.12161124973412,0.0025
lqr_node2_q1_r1,-1,2,LQR,117,0.0,-1,0.09070635776299478,0.3188481088726957,0.2721190732889844,3.9375686075216456e-07,0.0,0.13617408951572857,6.569149770006746,0.01
zero_input,-1,2,Zero Input,117,0.0,-1,1.3077984057438072,1.756634188419031,3.9233952172314215,3.4526283786068728,4.033302307128906,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,118,0.0,-1,1.9121318706500956,2.87078787288536,5.736395611950287,7.7837124328922345,8.538891837000847,1.1638312598416336,39.739909209144685,0.0075
lqr_node2_q1_r1,-1,2,LQR,118,0.0,-1,0.03334924239968743,0.1350485748253217,0.1000477271990623,1.051655775051058e-06,7.078051567077637e-08,0.042397944986958785,0.7228115976326276,0.0
zero_input,-1,2,Zero Input,118,0.0,-1,0.7306215378470526,0.980802049543609,2.191864613541158,2.185821171734988,1.0954871624708176,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,119,0.0,-1,3.00565363436702,3.9213751698718267,9.01696090310106,10.578691633395207,12.033302187919617,1.6099178546533324,59.054394734901166,0.0
lqr_node2_q1_r1,-1,2,LQR,119,0.0,-1,0.2580610664711579,0.7787045281429137,0.7741831994134738,2.441559860735764e-08,0.0,0.16211279613008536,7.467892491201358,0.0175
zero_input,-1,2,Zero Input,119,0.0,-1,1.1520901554986427,1.5582909433768388,3.4562704664959276,1.6937445788471788,3.1051963567733765,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,100,0.0,-1,0.021983703159524325,0.12015840320695287,0.06595110947857297,3.5415897950714015e-06,5.960464477539062e-07,0.05204778279356677,1.7570844704096584,0.0025
lqr_node3_q1_r1,-1,3,LQR,100,0.0,-1,0.03367172317472553,0.14910792496120948,0.1010151695241766,2.7512763569384443e-06,5.960464477539062e-07,0.03009444950940024,0.24580829794185188,0.0
zero_input,-1,3,Zero Input,100,0.0,-1,0.40642474855413213,0.5967755780266674,1.2192742456623964,2.1156066711762067,4.110799551010132,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,101,0.0,-1,0.01995404808450504,0.07287008570269901,0.059862144253515125,1.4122564023659554e-05,7.233582437038422e-06,0.02691434533161081,0.4224651585470671,0.0
lqr_node3_q1_r1,-1,3,LQR,101,0.0,-1,0.021931981983058874,0.07112323072638922,0.06579594594917662,6.107136285231437e-06,1.5338882803916931e-06,0.03153527588449095,0.3746481442839944,0.0
zero_input,-1,3,Zero Input,101,0.0,-1,0.4296838420002736,0.5671563268099559,1.2890515260008208,1.4154057254853807,0.5691761821508408,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,102,0.0,-1,0.01802361697225726,0.07427956707139724,0.05407085091677179,3.561215442145404e-05,1.2159347534179688e-05,0.05081621058601096,2.7847295491138713,0.005
lqr_node3_q1_r1,-1,3,LQR,102,0.0,-1,0.022067919956314658,0.09610379585471926,0.06620375986894397,5.643079660970855e-06,1.6689300537109375e-06,0.051217961812077724,1.8979619833719494,0.0
zero_input,-1,3,Zero Input,102,0.0,-1,1.3801103574367037,1.8875115033972738,4.140331072310111,4.577597091963262,1.7593262791633606,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,103,0.0,-1,0.08361780541766659,0.23891637124997697,0.25085341625299973,0.00029434445946488854,0.0001239180564880371,0.13393354200133287,2.6681223308519453,0.0
lqr_node3_q1_r1,-1,3,LQR,103,0.0,-1,0.0805337663186584,0.21726563253639994,0.2416012989559752,0.00010734692468871305,1.3440847396850586e-05,0.165499631538897,4.202330401411176,0.0
zero_input,-1,3,Zero Input,103,0.0,-1,0.9677090703425364,1.5590418167735105,2.903127211027609,1.0008292359610398,1.8562398701906204,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,104,0.0,-1,0.062906765452751,0.2346832103110601,0.18872029635825305,2.0345851181097972e-05,8.277595043182373e-06,0.10225038213697157,5.585558320684676,0.015
lqr_node3_q1_r1,-1,3,LQR,104,0.0,-1,0.06682969482343858,0.23061206671340334,0.20048908447031571,2.0308218850397768e-05,2.3543834686279297e-06,0.11293826665702224,5.753248604139577,0.01
zero_input,-1,3,Zero Input,104,0.0,-1,1.725490021769806,2.396972590143654,5.176470065309418,1.776610791918902,0.331483855843544,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,105,0.0,-1,0.0457853637097662,0.1481528955364029,0.13735609112929859,1.464242023634322e-05,4.889443516731262e-06,0.08139386617966424,1.9412351778154655,0.0
lqr_node3_q1_r1,-1,3,LQR,105,0.0,-1,0.047885537193971976,0.1431681334477938,0.14365661158191592,1.7919991579320696e-05,2.0600855350494385e-06,0.09936473206460135,3.288659492130303,0.0
zero_input,-1,3,Zero Input,105,0.0,-1,1.2061180838245158,1.612890924882412,3.6183542514735474,2.702920773744951,2.0153133273124695,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,106,0.0,-1,0.06799560076553617,0.20210916299435946,0.20398680229660848,0.0001379321401156945,8.196849375963211e-05,0.1472764528888345,4.405870102081179,0.0
lqr_node3_q1_r1,-1,3,LQR,106,0.0,-1,0.06457677150463742,0.1992857618883643,0.1937303145139123,2.9063244626201965e-05,7.896684110164642e-06,0.16290625786655086,5.141481821892754,0.0
zero_input,-1,3,Zero Input,106,0.0,-1,1.3495802846787526,1.9232666942382515,4.048740854036258,1.4320553475875912,0.43511155247688293,0.0,0.0,0.0
linear_gain_8,-1,3,Linear,107,0.0,-1,0.022034418936013704,0.07253483415042201,0.06610325680804112,4.368080516104345e-05,1.913309097290039e-05,0.07826948451096577,3.442198615540544,0.0075
lqr_node3_q1_r1,-1,3,LQR,107,0.0,-1,0.028145953836360774,0.11046698985757905,0.08443786150908232,1.5308856274242754e-05,3.725290298461914e-06,0.06780618071147196,2.0673992059321877,0.0
zero_input,-1,3,Zero Input,107,0.0,-1,1.1513269819405956,1.578078222711421,3.4539809458217863,2.0366173005306427,2.9031088948249817,0.0,0.0,0.0
