model_name,train_seed,node,method,test_seed,mismatch,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
linear_gain_8,-1,2,Linear,0,0.0,-1,2.268524430469236,3.0103958734904888,6.805573291407708,6.188348625177219,10.234159529209137,1.3964341247170942,48.49697295760703,0.015
lqr_node2_q1_r1,-1,2,LQR,0,0.0,-1,0.16486297918914053,0.5426533813227662,0.49458893756742156,0.0,0.0,0.10520763727335931,3.8263018475603525,0.005
zero_input,-1,2,Zero Input,0,0.0,-1,0.9967275612793262,1.4163027199801803,2.9901826838379786,1.9118748735866429,1.2849585860967636,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,1,0.0,-1,3.0066425628148807,4.017999354312534,9.01992768844464,8.914409804031436,8.193617910146713,1.6194553720088969,63.306869479823405,0.0075
lqr_node2_q1_r1,-1,2,LQR,1,0.0,-1,0.04706281733138646,0.19131094970471008,0.1411884519941594,4.329672658149107e-07,1.1175870895385742e-07,0.13479536827550265,7.578024821343542,0.0175
zero_input,-1,2,Zero Input,1,0.0,-1,1.085276100352555,1.6450999449620376,3.2558283010576656,2.1833160937200358,0.6975239515304565,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,2,0.0,-1,2.4357672413859084,3.445767400018821,7.307301724157726,7.883455242731689,8.185666680335999,1.3424842937331545,47.0143968645403,0.0025
lqr_node2_q1_r1,-1,2,LQR,2,0.0,-1,0.011575562440877717,0.05299035841976984,0.03472668732263315,0.0,0.0,0.051161429295510534,1.8031668689323266,0.0
zero_input,-1,2,Zero Input,2,0.0,-1,1.1133860512044365,1.534986555000631,3.3401581536133094,1.82348893178098,0.6441424787044525,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,3,0.0,-1,2.9984910772216886,3.992466149665218,8.995473231665066,8.185172121281978,8.273569583892822,1.5852109183397078,59.751547925635855,0.0
lqr_node2_q1_r1,-1,2,LQR,3,0.0,-1,0.04841577792242138,0.1924715509814768,0.14524733376726415,3.427497030776224e-07,8.009374141693115e-08,0.06028849879782737,1.582042999796897,0.0
zero_input,-1,2,Zero Input,3,0.0,-1,0.1423048972692542,0.2863387195371175,0.4269146918077626,0.0686147695487756,0.0321198683232069,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,4,0.0,-1,3.064864380131859,4.024489035810882,9.194593140395577,7.532104801616551,7.34172897040844,1.63448079602974,62.89546525229578,0.0
lqr_node2_q1_r1,-1,2,LQR,4,0.0,-1,0.1264764263215902,0.3862803985584421,0.37942927896477063,3.752885041413484e-08,0.0,0.14509619503958807,6.823024241224511,0.0125
zero_input,-1,2,Zero Input,4,0.0,-1,1.26960050226255,1.7485089348068716,3.80880150678765,2.155923476557673,2.0543696582317352,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,5,0.0,-1,1.8022961885864202,2.731287685296866,5.40688856575926,8.225093587129205,8.374633237719536,1.1170481376517145,37.58783772140071,0.015
lqr_node2_q1_r1,-1,2,LQR,5,0.0,-1,0.02719371597935211,0.1203918989426265,0.08158114793805633,0.0,0.0,0.0854052249820047,4.146427210685949,0.0025
zero_input,-1,2,Zero Input,5,0.0,-1,1.8563029397749717,2.5240934998126785,5.568908819324915,3.104694212982316,0.5108253657817841,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,6,0.0,-1,1.7952395540012585,2.37928660223332,5.385718662003775,4.88948383136296,6.052920639514923,1.2018494241850037,34.39356380071075,0.01
lqr_node2_q1_r1,-1,2,LQR,6,0.0,-1,0.02292783122706356,0.10133525229874296,0.06878349368119069,0.0,0.0,0.05659788718368127,1.3319941800938602,0.0
zero_input,-1,2,Zero Input,6,0.0,-1,1.3787031092859823,1.893499583193926,4.136109327857947,2.434107704662982,1.4785065054893494,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,7,0.0,-1,3.0778520317022022,4.08383387546371,9.233556095106605,9.953001812744288,10.526332676410675,1.6521847668357026,63.951737694083455,0.01
lqr_node2_q1_r1,-1,2,LQR,7,0.0,-1,0.092109381784054,0.2911985124535802,0.27632814535216205,4.907782522984493e-07,2.682209014892578e-07,0.11236347536869991,5.064649438189412,0.0075
zero_input,-1,2,Zero Input,7,0.0,-1,1.571412362295326,2.182749837479985,4.714237086885978,2.1809714356966223,2.3222282230854034,0.0,0.0,0.0
linear_gain_8,-1,2,Linear,8,0.0,-1,2.2082183440955214,3.3057975985773758,6.624655032286564,8.69257457278393,8.186770111322403,1.212426443962831,41.66573551977291,0.0
lqr_node2_q1_r1,-1,2,LQR,8,0.0,-1,0.01626185371740996,0.06687002626719026,0.04878556115222988,0.0,0.0,0.03330874064268392,0.5623390301187338,0.0
