method,node,controller_seed,test_seed,amplitude,eta,relative_bound,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
Fixed_k8,2,-1,100,0.03,1.0,0.03,0,deterministic,"[-0.6200170516967773, 0.9629579782485962, -0.4305199086666107]","[0.2585463523864746, 0.16207295656204224, 0.19982454180717468]",3.0812928932405397,4.090211052081818,9.243878679721618,8.539561268724041,8.12400709092617,1.686975485108737,67.47539254203905,0.0025
Fixed_k8,2,-1,101,0.03,1.0,0.03,0,deterministic,"[-0.550951361656189, 0.6109917163848877, 0.3617924749851227]","[-0.05787895619869232, -0.9383890628814697, 0.7895963788032532]",2.4533803972383885,3.287671838439963,7.360141191715165,5.719660299427716,5.236879676580429,1.4770350695548211,51.54768947312264,0.01
Fixed_k8,2,-1,102,0.03,1.0,0.03,0,deterministic,"[-0.5149568915367126, -0.7814074754714966, -0.3089001476764679]","[0.5584290027618408, 0.0793050229549408, 0.8485109210014343]",2.188458312813778,3.0803395144707904,6.565374938441334,8.103877153845481,8.94588528573513,1.2990844701590978,46.46919516337235,0.0125
Fixed_k8,2,-1,103,0.03,1.0,0.03,0,deterministic,"[-0.12263999134302139, -0.037186793982982635, 0.47996628284454346]","[-0.12207181006669998, 0.919745683670044, -0.3810819089412689]",2.3095451442653303,3.08385519134888,6.928635432795991,5.238007894084777,9.554459869861603,1.3236733585819045,43.26458215236302,0.005
Fixed_k8,2,-1,104,0.03,1.0,0.03,0,deterministic,"[0.6484106183052063, -0.8674346804618835, 0.07659447193145752]","[0.5117452144622803, 0.6506502032279968, -0.5617742538452148]",3.150825258911102,4.157052267279492,9.452475776733305,7.996290343319193,8.1399687230587,1.7549152365349177,72.81811444550364,0.0075
Fixed_k8,2,-1,105,0.03,1.0,0.03,0,deterministic,"[-0.42927682399749756, 0.11211804300546646, 0.4673515558242798]","[-0.602249801158905, -0.4704720079898834, -0.3490790128707886]",3.2126575893755764,4.111852145056293,9.63797276812673,10.634842922106202,12.307418525218964,1.6784690147326178,60.78594699926587,0.0025
Fixed_k8,2,-1,106,0.03,1.0,0.03,0,deterministic,"[-0.8895044922828674, 0.2718296945095062, -0.8628385663032532]","[0.9502007961273193, -0.6974973678588867, -0.4096177816390991]",2.900229909400752,3.8496980603839637,8.700689728202256,7.415855813633512,7.672219023108482,1.5559877680795746,57.894318805948174,0.005
Fixed_k8,2,-1,107,0.03,1.0,0.03,0,deterministic,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",1.822089862843305,2.380985636759407,5.466269588529915,4.428981231870474,2.715348541736603,1.0588350628974135,25.342350645779682,0.0
Fixed_k8,2,-1,108,0.03,1.0,0.03,0,deterministic,"[0.2364661693572998, 0.06543176621198654, 0.1095544770359993]","[-0.17992550134658813, -0.7554280757904053, 0.9981473684310913]",3.366315693505486,4.342443543189676,10.098947080516458,12.118277241970286,13.489702880382538,1.7211340995798088,63.8313245146117,0.005
Fixed_k8,2,-1,109,0.03,1.0,0.03,0,deterministic,"[0.9988187551498413, 0.9677178263664246, 0.040775928646326065]","[0.3314192593097687, -0.585135817527771, 0.520487904548645]",3.28315136804929,4.365564123861314,9.84945410414787,9.275044114409406,7.873504027724266,1.6743772365059937,68.3938472930256,0.01
