method,node,controller_seed,test_seed,amplitude,eta,relative_bound,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
LQR_R1,2,-1,100,0.03,1.0,0.03,0,deterministic,"[-0.6200170516967773, 0.9629579782485962, -0.4305199086666107]","[0.2585463523864746, 0.16207295656204224, 0.19982454180717468]",0.11247289770438412,0.24004221661216563,0.33741869311315237,0.19849838344035325,0.03633922152221203,0.16459500188256312,6.555881872897048,0.0125
LQR_R1,2,-1,101,0.03,1.0,0.03,0,deterministic,"[-0.550951361656189, 0.6109917163848877, 0.3617924749851227]","[-0.05787895619869232, -0.9383890628814697, 0.7895963788032532]",0.33735601285182976,0.7657818820197487,1.0120680385554892,0.2537917536165979,0.45202985405921936,0.22167319934809362,9.391157829299324,0.02
LQR_R1,2,-1,102,0.03,1.0,0.03,0,deterministic,"[-0.5149568915367126, -0.7814074754714966, -0.3089001476764679]","[0.5584290027618408, 0.0793050229549408, 0.8485109210014343]",0.21974540327800282,0.3659384258025939,0.6592362098340084,0.49378337766285296,0.12377074360847473,0.15114231568061806,2.6707101826739166,0.0
LQR_R1,2,-1,103,0.03,1.0,0.03,0,deterministic,"[-0.12263999134302139, -0.037186793982982635, 0.47996628284454346]","[-0.12207181006669998, 0.919745683670044, -0.3810819089412689]",0.23767110474519154,0.5879608843127857,0.7130133142355746,0.3048684510551853,0.14833679795265198,0.2267164696461435,9.1202480599158,0.02
LQR_R1,2,-1,104,0.03,1.0,0.03,0,deterministic,"[0.6484106183052063, -0.8674346804618835, 0.07659447193145752]","[0.5117452144622803, 0.6506502032279968, -0.5617742538452148]",0.2067974052896703,0.6141100224824246,0.6203922158690109,0.04935109167486245,0.02897132048383355,0.2380394890676241,11.984961640075795,0.0275
LQR_R1,2,-1,105,0.03,1.0,0.03,0,deterministic,"[-0.42927682399749756, 0.11211804300546646, 0.4673515558242798]","[-0.602249801158905, -0.4704720079898834, -0.3490790128707886]",0.09043231054502582,0.26712434041999017,0.27129693163507745,0.05804467421990854,0.10028469562530518,0.07976888597880036,1.2688803374434428,0.0
LQR_R1,2,-1,106,0.03,1.0,0.03,0,deterministic,"[-0.8895044922828674, 0.2718296945095062, -0.8628385663032532]","[0.9502007961273193, -0.6974973678588867, -0.4096177816390991]",0.06037000585146131,0.1580251330201755,0.1811100175543839,0.08270989512495788,0.043858448043465614,0.13555952868766344,5.2034773133735746,0.01
LQR_R1,2,-1,107,0.03,1.0,0.03,0,deterministic,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",0.16950177201724062,0.41915865054149815,0.5085053160517219,0.1858437114659651,0.48007357120513916,0.14518955991331411,5.25723549213012,0.01
LQR_R1,2,-1,108,0.03,1.0,0.03,0,deterministic,"[0.2364661693572998, 0.06543176621198654, 0.1095544770359993]","[-0.17992550134658813, -0.7554280757904053, 0.9981473684310913]",0.20483496176649477,0.4781236132548065,0.6145048852994843,0.1673638848932805,0.430580198764801,0.1507717533709648,6.808749523463558,0.015
LQR_R1,2,-1,109,0.03,1.0,0.03,0,deterministic,"[0.9988187551498413, 0.9677178263664246, 0.040775928646326065]","[0.3314192593097687, -0.585135817527771, 0.520487904548645]",0.2328437919483047,0.604346240924233,0.6985313758449141,0.24716775238881877,0.09948582574725151,0.2624718954762635,12.775027286906234,0.025
