method,node,controller_seed,test_seed,amplitude,eta,relative_bound,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
SAC,3,123,100,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.6200170516967773, 0.9629579782485962, -0.4305199086666107]","[0.2585463523864746, 0.16207295656204224, 0.19982454180717468]",0.047826664016759356,0.08825326395418231,0.14347999205027806,0.06320340426661718,0.026860438287258148,0.1322002363323868,4.911092529406301,0.0
SAC,3,123,101,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.550951361656189, 0.6109917163848877, 0.3617924749851227]","[-0.05787895619869232, -0.9383890628814697, 0.7895963788032532]",0.0538026859487561,0.16607144469596338,0.1614080578462683,0.034395394225915275,0.03444558382034302,0.16179012954978278,7.570096825623063,0.0
SAC,3,123,102,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.5149568915367126, -0.7814074754714966, -0.3089001476764679]","[0.5584290027618408, 0.0793050229549408, 0.8485109210014343]",0.056900347597511516,0.16733560837194936,0.17070104279253456,0.03839786165612347,0.012861430644989014,0.1512676926325087,5.105241931305784,0.0
SAC,3,123,103,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.12263999134302139, -0.037186793982982635, 0.47996628284454346]","[-0.12207181006669998, 0.919745683670044, -0.3810819089412689]",0.05330569425509532,0.14185984167352994,0.15991708276528596,0.0613289281817866,0.02999153733253479,0.1745639382455117,7.755929567068768,0.0
SAC,3,123,104,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.6484106183052063, -0.8674346804618835, 0.07659447193145752]","[0.5117452144622803, 0.6506502032279968, -0.5617742538452148]",0.09641904070902173,0.2016272514134695,0.28925712212706517,0.06970106295229477,0.03731211693957448,0.19669100173988247,8.83693629248686,0.0
SAC,3,123,105,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.42927682399749756, 0.11211804300546646, 0.4673515558242798]","[-0.602249801158905, -0.4704720079898834, -0.3490790128707886]",0.030558285685852234,0.08585884283424342,0.0916748570575567,0.04231574211591556,0.07084745168685913,0.1151439156615526,3.92672698806999,0.0
SAC,3,123,106,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.8895044922828674, 0.2718296945095062, -0.8628385663032532]","[0.9502007961273193, -0.6974973678588867, -0.4096177816390991]",0.03382419861085924,0.11850814533377978,0.1014725958325777,0.019416729761517527,0.01665524858981371,0.0917005479484425,2.86582447043931,0.0
SAC,3,123,107,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",0.07076349754021166,0.18632345464625527,0.21229049262063499,0.09381673475842417,0.09318816661834717,0.1716819178136507,6.015472490156828,0.0
SAC,3,123,108,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.2364661693572998, 0.06543176621198654, 0.1095544770359993]","[-0.17992550134658813, -0.7554280757904053, 0.9981473684310913]",0.06422472600875452,0.157295145484876,0.19267417802626355,0.07754563859859366,0.07334601879119873,0.20126895238633763,8.250774568107227,0.0
SAC,3,123,109,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.9988187551498413, 0.9677178263664246, 0.040775928646326065]","[0.3314192593097687, -0.585135817527771, 0.520487904548645]",0.07436841209585518,0.21135457232357494,0.22310523628756554,0.03879756022842578,0.014330979436635971,0.17654356873243526,8.051230329087867,0.0
SAC,3,123,110,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.10864169895648956, 0.04931486025452614, -0.4704791009426117]","[-0.871351957321167, 0.2730865180492401, -0.019966647028923035]",0.020999044204302635,0.05818477757689247,0.0629971326129079,0.04257067393534529,0.03522859141230583,0.10378576633044312,2.5058546551916407,0.0
SAC,3,123,111,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.6049723625183105, -0.32344892621040344, 0.43083447217941284]","[-0.8419704437255859, -0.16797947883605957, -0.20451059937477112]",0.025756986894592927,0.04486119171160414,0.07727096068377878,0.03025005286398493,0.005257053300738335,0.08779927738884144,3.2416501656388306,0.0
SAC,3,123,112,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.4448135197162628, -0.9011456966400146, 0.6439449191093445]","[0.9329946637153625, 0.5882050395011902, 0.9689865112304688]",0.059983100536753944,0.17955767283502433,0.17994930161026185,0.018027708770845224,0.003082275390625,0.12112791163665695,2.7194813818429426,0.0
SAC,3,123,113,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[0.41863173246383667, -0.023482682183384895, 0.2279641479253769]","[-0.4255177676677704, -0.7030157446861267, -0.44172894954681396]",0.05142126670099504,0.12484283117570194,0.15426380010298513,0.04990677940831692,0.03354808688163757,0.1459539471719033,2.1172203362825854,0.0
SAC,3,123,114,0.03,1.0,0.03,0,64c674e453505f1d11a5d9c5bf19036d489468f97de388844d3b4c4cd5f9d803,"[-0.7814548015594482, -0.6798140406608582, -0.9797838926315308]","[0.11529668420553207, -0.6668115258216858, -0.3657369315624237]",0.020003200137441172,0.06248814176873463,0.06000960041232351,0.01035790889305465,0.022467702627182007,0.07084717952699733,1.6478286700129219,0.0
