method,node,controller_seed,test_seed,amplitude,eta,relative_bound,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
SMC,3,-1,100,0.03,1.0,0.03,0,deterministic,"[-0.6200170516967773, 0.9629579782485962, -0.4305199086666107]","[0.2585463523864746, 0.16207295656204224, 0.19982454180717468]",0.06984423322514852,0.10054221141188138,0.20953269967544555,0.19042078320534878,0.09325030073523521,0.1432962139996995,5.862378997754032,0.0175
SMC,3,-1,101,0.03,1.0,0.03,0,deterministic,"[-0.550951361656189, 0.6109917163848877, 0.3617924749851227]","[-0.05787895619869232, -0.9383890628814697, 0.7895963788032532]",0.14208913934575773,0.2525361168585058,0.4262674180372732,0.13468077576454776,0.2769699990749359,0.17445993378483432,8.517847810120193,0.025
SMC,3,-1,102,0.03,1.0,0.03,0,deterministic,"[-0.5149568915367126, -0.7814074754714966, -0.3089001476764679]","[0.5584290027618408, 0.0793050229549408, 0.8485109210014343]",0.11305062128548338,0.24363710862496807,0.33915186385645013,0.05746831888631906,0.02687978744506836,0.15298640511060793,4.741088716615904,0.0075
SMC,3,-1,103,0.03,1.0,0.03,0,deterministic,"[-0.12263999134302139, -0.037186793982982635, 0.47996628284454346]","[-0.12207181006669998, 0.919745683670044, -0.3810819089412689]",0.09549648971440068,0.15787315507655195,0.28648946914320206,0.2704817246139785,0.07215416431427002,0.18694758963825744,8.095443464600129,0.0225
SMC,3,-1,104,0.03,1.0,0.03,0,deterministic,"[0.6484106183052063, -0.8674346804618835, 0.07659447193145752]","[0.5117452144622803, 0.6506502032279968, -0.5617742538452148]",0.12949069439342936,0.2167327655323752,0.38847208318028814,0.22708310469709062,0.10299914330244064,0.20074552092845627,10.05059101915029,0.03
SMC,3,-1,105,0.03,1.0,0.03,0,deterministic,"[-0.42927682399749756, 0.11211804300546646, 0.4673515558242798]","[-0.602249801158905, -0.4704720079898834, -0.3490790128707886]",0.11182260386419737,0.21712187532914287,0.3354678115925921,0.07028085894790696,0.14477241039276123,0.1384172306390152,3.591610799483116,0.005
SMC,3,-1,106,0.03,1.0,0.03,0,deterministic,"[-0.8895044922828674, 0.2718296945095062, -0.8628385663032532]","[0.9502007961273193, -0.6974973678588867, -0.4096177816390991]",0.05506200627605752,0.1325875716541939,0.16518601882817255,0.05267055486156433,0.014815055765211582,0.0975861005879012,4.923019300206046,0.015
SMC,3,-1,107,0.03,1.0,0.03,0,deterministic,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",0.1553315779911114,0.2360000677591184,0.46599473397333424,0.3811094093101996,0.4381145238876343,0.18463621936399405,6.2499551575717165,0.0175
SMC,3,-1,108,0.03,1.0,0.03,0,deterministic,"[0.2364661693572998, 0.06543176621198654, 0.1095544770359993]","[-0.17992550134658813, -0.7554280757904053, 0.9981473684310913]",0.10151166518250557,0.1970040502544281,0.3045349955475167,0.13566650162784405,0.26435840129852295,0.15830568045889878,7.723584785450417,0.0225
SMC,3,-1,109,0.03,1.0,0.03,0,deterministic,"[0.9988187551498413, 0.9677178263664246, 0.040775928646326065]","[0.3314192593097687, -0.585135817527771, 0.520487904548645]",0.09111790411973238,0.2201231112681644,0.27335371235919714,0.09158472844434005,0.04597312584519386,0.19761263744797014,9.97251568442588,0.0275
