node,method,amplitude,eta,mae,mae_seed_sd,energy_u,steady_l1
2,Fixed_k8,0.03,1.0,2.753974130962908,,54.502790223428676,7.807505658508083
2,Fixed_k8,0.03,2.0,2.7480657278666163,,53.72692006871962,7.775266962601907
2,Fixed_k8,0.05,1.0,2.7503096845088075,,53.981599509851016,7.78651973825684
2,Fixed_k8,0.05,2.0,2.7366641119103536,,52.7436030167858,7.724096964966551
2,LQR_R001,0.03,1.0,0.11436132542131519,,14.149036136966746,0.08114288033181681
2,LQR_R001,0.03,2.0,0.14859234964496223,,14.603549174106481,0.1628722623735091
2,LQR_R001,0.05,1.0,0.1367792592059303,,14.437150786570317,0.13534207272366328
2,LQR_R001,0.05,2.0,0.2026699122898466,,16.011337881699372,0.28014550932846893
2,LQR_R1,0.03,1.0,0.16336520572815394,,5.345948737141466,0.21686601818059165
2,LQR_R1,0.03,2.0,0.23298215126299976,,5.576733804264058,0.43574011738550056
2,LQR_R1,0.05,1.0,0.20945826948756627,,5.485128838961993,0.3618411167932927
2,LQR_R1,0.05,2.0,0.33171409641868443,,6.041286168233297,0.7412854103572712
2,PPO,0.03,1.0,0.12888839851081846,0.005103825810945184,11.359279345448508,0.10294928053042314
2,PPO,0.03,2.0,0.17025944706831286,0.008498310626870061,11.845567609284258,0.19660293425063488
2,PPO,0.05,1.0,0.15563056317937884,0.007407558848710662,11.636053667627854,0.16405620568684862
2,PPO,0.05,2.0,0.24106487331542703,0.011466824036505535,13.393413262085959,0.3454013594150746
2,SAC,0.03,1.0,0.13022119842460528,0.005904621573628219,8.943683390793433,0.12692074003761608
2,SAC,0.03,2.0,0.15134548600188744,0.003676002839467375,9.311397258729547,0.1657292111530524
2,SAC,0.05,1.0,0.14335134442094127,0.004056479812984097,9.171301284134849,0.15120420962286565
2,SAC,0.05,2.0,0.1947956403809105,0.008103398357694174,10.092155781104124,0.242917395226414
2,SMC,0.03,1.0,0.1649211951750365,,7.601783975579503,0.19280523070318184
2,SMC,0.03,2.0,0.22234904026222263,,7.8441289332718735,0.3785707473338087
2,SMC,0.05,1.0,0.2029204389272785,,7.756207289464932,0.3168007366412411
2,SMC,0.05,2.0,0.3046046162054575,,8.296197489442964,0.6293783436926013
3,Fixed_k8,0.03,1.0,0.05900555840332067,,3.8956965109601938,0.061953780764460877
3,Fixed_k8,0.03,2.0,0.07850941176469053,,4.005829229015549,0.12419755918988493
3,Fixed_k8,0.05,1.0,0.07185783443437031,,3.9592363517868607,0.10341678657698336
3,Fixed_k8,0.05,2.0,0.1060239003381352,,4.291817027770696,0.20762771320856968
3,LQR_R001,0.03,1.0,0.04909779968562532,,5.169292615401906,0.048105020688438485
3,LQR_R001,0.03,2.0,0.06472647321066549,,5.288469505840409,0.09614848532688075
3,LQR_R001,0.05,1.0,0.05939109427823447,,5.237061034315573,0.08014178802259261
3,LQR_R001,0.05,2.0,0.08683618936953437,,5.614349527536629,0.16008939925526597
3,LQR_R1,0.03,1.0,0.07106357158607034,,3.416549262681903,0.0842133656075155
3,LQR_R1,0.03,2.0,0.09890870556683552,,3.559241243307055,0.16621115719554597
3,LQR_R1,0.05,1.0,0.08957902344799842,,3.499814614380351,0.13902879178101468
3,LQR_R1,0.05,2.0,0.1366686099413271,,3.9164419644163884,0.27450362073795087
3,PPO,0.03,1.0,0.05058297178618724,0.0019168548573747233,6.30625070886168,0.048701968648060805
3,PPO,0.03,2.0,0.06558921886451069,0.0024729177825799048,6.440593860340473,0.09547352081240407
3,PPO,0.05,1.0,0.06042333903306377,0.0022860168677120186,6.384855246553453,0.0798145702983053
3,PPO,0.05,2.0,0.08722128515428144,0.003182786943774459,6.774893353677665,0.15860288941642506
3,SAC,0.03,1.0,0.04951634628056764,0.0008729742103585305,4.943612364345192,0.05026236428896443
3,SAC,0.03,2.0,0.06441356300147456,0.000921720841829184,5.0708728389552675,0.09608727257038606
3,SAC,0.05,1.0,0.059259903082863635,0.0008513053171673258,5.017217866011697,0.08070864690910376
3,SAC,0.05,2.0,0.08596220143554763,0.0011912217205449333,5.40412167507107,0.15806076791302257
3,SMC,0.03,1.0,0.09116331609140177,,5.661833548474082,0.13613195353903357
3,SMC,0.03,2.0,0.12567127208228906,,5.823056853028165,0.2664663657724259
3,SMC,0.05,1.0,0.11395762829435752,,5.754456023088336,0.22358779538879858
3,SMC,0.05,2.0,0.17254836094002093,,6.226047602583315,0.43366467912399703
