model_name,train_seed,node,method,test_seed,mismatch,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error,recovery_steps,recovery_time,controlled_nodes,observation_mode,observation_dim,num_control_inputs,action_limit,noise_std
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,100,0.0,-1,1.3275515913083864,1.5351838346378346,3.982654773925159,4.9314785925326525,7.617194175720215,3.2412849836367323,252.34542721909153,0.76,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,101,0.0,-1,1.0569726346727966,1.328359147326456,3.1709179040183897,2.170339689164618,3.4294706881046295,2.840035279176925,205.73856912616293,0.5625,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,102,0.0,-1,1.4921010740825957,1.7257623653972258,4.476303222247787,4.513604797514868,7.022945404052734,3.6318150849785296,282.81180658090466,0.825,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,103,0.0,-1,1.4908451836522132,1.6843786723427896,4.47253555095664,4.157738259177149,5.460057973861694,3.6629086403812554,280.8381004595992,0.79,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,104,0.0,-1,1.5213013024805602,1.8659394292454212,4.563903907441681,2.2726842334700956,3.609485149383545,3.207503245748635,235.56728416745864,0.6675,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,105,0.0,-1,1.127777286835405,1.3856126723507394,3.383331860506215,3.446885189984316,1.4704433977603912,3.011296919140584,213.96685372787388,0.54,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,106,0.0,-1,1.4591388996297234,1.6986601297552772,4.377416698889171,3.2448224406459447,3.9854360818862915,3.4577375202999447,262.93924858948407,0.745,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,107,0.0,-1,1.563846574275633,1.7193868005804989,4.6915397228268985,3.3325691414468084,5.081003665924072,3.912744790835868,309.5244301952323,0.9125,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,108,0.0,-1,1.130973230703662,1.4222220082577044,3.3929196921109854,2.214766584382749,3.7628661394119263,3.0337772402642966,214.51856971721728,0.53,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,109,0.0,-1,1.2205541978527483,1.4547355584783939,3.661662593558245,4.600170166864071,2.516105204820633,3.247867278085831,243.22160417762117,0.6425,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,110,0.0,-1,1.4886982076037256,1.7118714768193304,4.466094622811177,6.496399705424721,3.087902694940567,3.4735901918717453,266.0541673253639,0.7925,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,111,0.0,-1,1.5826355484829084,1.939991614930036,4.747906645448725,2.7805297195359513,2.7512128353118896,3.241759941502105,238.93165313901142,0.67,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,112,0.0,-1,1.7160541140354384,1.8534189756884223,5.148162342106315,5.10278112983998,6.944865465164185,3.918904078199976,312.09344485133784,0.9475,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,113,0.0,-1,1.4783497395044995,1.7013690465569518,4.435049218513499,6.50667401375594,7.930590867996216,3.335474210654262,256.9496273552906,0.7675,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,114,0.0,-1,1.3027199712935726,1.6102833885363796,3.908159913880718,3.043655056644369,3.3184852600097656,3.393400026824409,252.58425133269867,0.65,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,115,0.0,-1,1.5841419246273791,1.810826211177845,4.752425773882138,6.049590039400407,5.516834855079651,3.5746629636298093,278.5884347170016,0.815,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,116,0.0,-1,1.539013478855416,1.7319424178875673,4.617040436566247,6.401931123968995,5.311442852020264,3.5873894052315234,276.9485198105932,0.8275,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,117,0.0,-1,1.4833789442418917,1.8076581184944698,4.450136832725675,2.2567034107115536,3.7023377418518066,3.2611611412647656,239.08052623964483,0.6475,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,118,0.0,-1,0.9743097643379559,1.2695053953738722,2.9229292930138677,3.1063255399557543,1.4989935010671616,2.6243824540565437,172.49288572707576,0.415,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node1_final_seed_42,42,1,PPO,119,0.0,-1,1.317670485851721,1.5421155751495639,3.953011457555163,5.426852784958887,6.363765239715576,3.4138101526626623,257.90065253021714,0.6925,nan,nan,nan,nan,1,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,100,0.0,-1,0.04717061474918545,0.16743956956885384,0.14151184424755636,0.04244261483351389,0.018027007579803467,0.134648198024962,6.060362133656874,0.01,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,101,0.0,-1,0.03029949236643777,0.06938099040036966,0.09089847709931331,0.025880837479583276,0.009122590534389019,0.08289870878035885,2.986175819662868,0.0075,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,102,0.0,-1,0.06599092449805546,0.22097662203073787,0.1979727734941664,0.021633110175852056,0.018151402473449707,0.17386497365789222,9.970144520261947,0.0225,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,103,0.0,-1,0.07336955531291255,0.20461824571394985,0.22010866593873765,0.049409042606935086,0.020243793725967407,0.14981210563434033,8.436090446113798,0.025,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,104,0.0,-1,0.15072272825523195,0.4978259010061399,0.45216818476569587,0.051708024811505535,0.018947839736938477,0.2639700009712852,17.656890668061674,0.0475,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,105,0.0,-1,0.03733944758062165,0.09374620527593046,0.11201834274186495,0.062214107545851556,0.01572064869105816,0.17044599565150137,9.714020891296997,0.025,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,106,0.0,-1,0.1308659379644759,0.38044428667251495,0.39259781389342774,0.009630092484359112,0.008314266335219145,0.25146281368045736,14.234144768541032,0.03,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,107,0.0,-1,0.10039843009019941,0.313547176926264,0.3011952902705982,0.022938598752205754,0.010625571012496948,0.16234479664344145,7.772773901663543,0.02,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,108,0.0,-1,0.032810359976098796,0.08791530927845861,0.09843107992829639,0.04864676519193583,0.018297802656888962,0.06541661354260254,4.038144149953683,0.0125,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,109,0.0,-1,0.10116834861496564,0.3284667034245366,0.3035050458448969,0.06680322311427674,0.021200933028012514,0.2090299505266614,11.083734409152395,0.0175,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,110,0.0,-1,0.041934744848777614,0.10866769998848477,0.12580423454633285,0.05557726233921669,0.06898115575313568,0.14029626494408248,5.910361841856789,0.015,nan,nan,nan,nan,2,full,6,1,4.0,0.0
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,111,0.0,-1,0.25366469500419947,0.7652718088135303,0.7609940850125984,0.06791801632807394,0.025946934707462788,0.3603654955409263,24.454768961571418,0.0625,nan,nan,nan,nan,2,full,6,1,4.0,0.0
