#{"t_start": 1788916924.775645, "env_id": "None"}
r,l,t
-221.716781,400,3.866436
-209.987072,400,5.090189
-254.142551,400,6.234106
-203.339897,400,7.416551
-223.722023,400,8.169712
-144.712664,400,9.377662
-257.266103,400,10.684715
-211.206282,400,11.878082
-151.379396,400,12.953899
-166.967614,400,13.739874
-187.102894,400,14.930687
-171.440836,400,16.079892
-130.598896,400,17.215743
-105.011418,400,17.94683
-96.956588,400,19.228956
-76.905813,400,20.471854
-86.2708,400,21.69557
-95.646094,400,22.721038
-86.050696,400,23.36812
-91.986354,400,24.522232
-68.299834,400,25.604904
-58.282506,400,26.809087
-72.907533,400,27.619051
-57.455175,400,28.795947
-61.245192,400,29.951864
-43.29177,400,31.142189
-43.686315,400,32.312666
-34.099698,400,33.206124
-37.110365,400,34.274498
-39.371124,400,35.328221
-34.153599,400,36.521336
-40.938758,400,37.403429
-26.641908,400,38.421484
-25.024661,400,39.376318
-24.870144,400,40.566286
-22.616173,400,41.67244
-28.094832,400,42.462367
-32.870039,400,43.739424
-18.96856,400,44.751596
-28.775176,400,45.753405
-30.254018,400,46.825499
-19.766371,400,47.630915
-19.850541,400,48.74241
-16.065778,400,49.890945
-13.284194,400,51.107853
-15.132666,400,51.97959
-17.596664,400,53.111577
-21.953711,400,54.30376
-18.131384,400,55.431157
-13.139897,400,56.58578
-14.061757,400,57.295869
-15.255573,400,58.573957
-19.187745,400,59.767159
-12.337377,400,60.921012
-19.673108,400,61.733166
-12.863311,400,62.90924
-43.705938,400,64.034142
-21.085043,400,65.217008
-49.828601,400,66.352063
-16.234216,400,67.072863
-36.871984,400,68.294446
-39.682994,400,69.552898
-10.822691,400,70.762166
-15.840114,400,71.593386
-18.995482,400,72.830227
-11.678801,400,74.09982
-13.009195,400,75.226981
-15.538568,400,76.50703
-13.293845,400,77.311532
-11.291649,400,78.617178
-28.194062,400,79.83548
-37.273274,400,81.147114
-16.628508,400,82.38654
-16.478117,400,83.209635
-28.771333,400,84.465562
-26.716576,400,85.682455
-36.04509,400,86.912799
-25.091229,400,87.693704
-32.432491,400,88.991819
-11.50032,400,90.246635
-20.221798,400,91.498641
-31.944797,400,92.517492
-24.442169,400,93.29585
-20.157316,400,94.566533
-36.04486,400,95.740582
-40.632892,400,97.001957
-14.079277,400,97.804973
-10.173761,400,99.051792
-18.465183,400,100.069852
-17.371039,400,101.310112
-16.135173,400,102.547683
-14.282972,400,103.2859
-24.874602,400,104.410151
-12.63818,400,105.690145
-16.814822,400,106.940294
-19.238472,400,107.77154
-9.66786,400,109.008084
-19.799808,400,110.122961
-7.183295,400,111.313408
-17.52192,400,112.498185
-31.844768,400,113.313307
-8.686795,400,114.512111
-12.112147,400,115.756941
-10.688493,400,116.994328
-8.787957,400,118.249284
-9.870918,400,119.027527
-9.247096,400,120.192496
-11.47645,400,121.505312
-12.547365,400,122.756336
-35.701068,400,123.568499
-15.44817,400,124.806539
-34.390509,400,126.055331
-8.718909,400,127.304762
-34.757495,400,128.586548
-8.586674,400,129.432763
-7.58049,400,130.677854
-11.499598,400,131.993469
-10.398948,400,133.259669
-7.69748,400,134.060711
-15.166489,400,135.268373
-6.81105,400,136.429536
-12.961097,400,137.707766
-23.971131,400,138.923685
-9.336068,400,139.765635
-19.513054,400,141.081842
-41.303853,400,142.383147
-28.511468,400,143.662866
-14.869909,400,144.526803
-12.777691,400,145.844989
-39.250832,400,147.152956
-10.771361,400,148.287139
-9.539249,400,149.456353
-8.066048,400,150.301269
-31.806025,400,151.556307
-6.362112,400,152.859009
-7.37218,400,154.038667
-9.43888,400,155.247862
-28.975103,400,156.015118
-9.966874,400,157.279236
-40.711466,400,158.49912
-6.764007,400,159.65319
-9.272212,400,160.450319
-8.044475,400,161.75496
-5.947347,400,163.01425
-9.967257,400,164.210416
-26.340867,400,165.408867
-6.242046,400,166.173596
-7.868578,400,167.48138
-8.690559,400,168.703439
-7.373036,400,169.806326
-20.660903,400,170.652402
-9.355592,400,171.861618
-7.245188,400,173.088268
-10.162795,400,174.33667
-7.129373,400,175.609011
-12.649378,400,176.443531
-5.766407,400,177.611856
-22.139566,400,178.734662
-13.500981,400,179.840787
-8.374163,400,180.612613
-7.513967,400,181.852997
-26.482634,400,183.084835
-13.150343,400,184.29261
-6.74068,400,185.544574
-26.113238,400,186.37074
-22.161867,400,187.591872
-5.462749,400,188.821217
-6.501336,400,190.032911
-6.735609,400,191.217086
-30.403257,400,192.07305
-6.826715,400,193.289236
-8.410696,400,194.510035
-8.525737,400,195.704802
-12.763937,400,196.496613
-23.604302,400,197.703252
-23.510594,400,198.908212
-6.847846,400,200.042072
-16.46499,400,201.278252
-6.282749,400,202.093164
-20.088017,400,203.307509
-5.3531,400,204.523428
-29.475002,400,205.771197
-7.095481,400,206.560011
-9.353355,400,207.801249
-25.886921,400,209.035761
-12.149597,400,210.259908
-18.200654,400,211.490281
-10.367561,400,212.275993
-8.819893,400,213.518322
-7.616282,400,214.719176
