scenario,node,method,mismatch,noise_std,num_runs,mae_mean,mae_std,rmse_mean,rmse_std,mean_l1_mean,mean_l1_std,steady_l1_mean,steady_l1_std,final_l1_mean,final_l1_std,mean_abs_u_mean,mean_abs_u_std,energy_u_mean,energy_u_std,saturation_fraction_mean,saturation_fraction_std,max_post_pulse_mean,max_post_pulse_std,mean_post_pulse_error_mean,mean_post_pulse_error_std
mismatch,2,LQR,0.0,0.0,1,0.039891310170597105,0.0,0.1758914884532418,0.0,0.1196739305117913,0.0,2.9156145490246054e-07,0.0,1.1920928955078125e-07,0.0,0.01770788123337711,0.0,0.11359332815652486,0.0,0.0,0.0,,,,
mismatch,2,LQR,2.0,0.0,1,0.16447942878304672,0.0,0.2807124474423188,0.0,0.4934382863491402,0.0,0.3726515380412708,0.0,0.06458660215139389,0.0,0.20005862927049783,0.0,6.596449297039782,0.0,0.0125,0.0,,,,
mismatch,2,PPO,0.0,0.0,3,0.04720243154307552,0.0034322540671531225,0.16786974397926216,0.0003742689351657182,0.14160729462922653,0.010296762201459371,0.037126995741922415,0.012547897442949905,0.015735546747843426,0.009498840937269895,0.09701120739157061,0.03588781628143789,4.519187406664919,1.8745352950901697,0.008333333333333333,0.002886751345948129,,,,
mismatch,2,PPO,2.0,0.0,3,0.10107538956698742,0.008633551668734793,0.24129008546635702,0.0014990453798265195,0.30322616870096225,0.025900655006204393,0.10657886369345487,0.02481664470756781,0.035616656144460045,0.007164704538169896,0.2583536108923226,0.010120201711972494,12.501575668364454,1.3409891277265735,0.03,0.005000000000000001,,,,
mismatch,3,LQR,0.0,0.0,1,0.03367172317472553,0.0,0.14910792496120948,0.0,0.1010151695241766,0.0,2.7512763569384443e-06,0.0,5.960464477539062e-07,0.0,0.03009444950940024,0.0,0.24580829794185188,0.0,0.0,0.0,,,,
mismatch,3,LQR,2.0,0.0,1,0.08613664722372023,0.0,0.12317202573191828,0.0,0.2584099416711607,0.0,0.15735894190952365,0.0,0.07257950119674206,0.0,0.17949745262660344,0.0,3.7080507685736195,0.0,0.0,0.0,,,,
mismatch,3,PPO,0.0,0.0,3,0.021525283669304524,0.0007897372870520629,0.11501831857949506,0.0007238357786146688,0.06457585100791358,0.0023692118611561945,0.00986302300804743,0.0056276247656977954,0.01505213975906372,0.011449789478027144,0.09773124995465676,0.007598612335569119,6.06548025876882,0.7373189954363765,0.016666666666666666,0.002886751345948129,,,,
mismatch,3,PPO,2.0,0.0,3,0.08294179622069968,0.0028904941525124597,0.12129230615471433,0.008941314884748426,0.24882538866209902,0.008671482457537379,0.13309172731862542,0.0069804247450563255,0.06258534950514634,0.011124323826543927,0.19163443902174535,0.0014567050432797686,5.877057386930919,0.5296816333949191,0.015833333333333335,0.0014433756729740658,,,,
noise,2,LQR,0.0,0.0,1,0.039891310170597105,0.0,0.1758914884532418,0.0,0.1196739305117913,0.0,2.9156145490246054e-07,0.0,1.1920928955078125e-07,0.0,0.01770788123337711,0.0,0.11359332815652486,0.0,0.0,0.0,,,,
noise,2,LQR,0.0,0.05,1,0.2983783471699206,0.0,0.4281015385206494,0.0,0.895135041509762,0.0,0.5388918688267837,0.0,0.4073135256767273,0.0,0.47176661604186265,0.0,7.372412404359796,0.0,0.0,0.0,,,,
