model_name,train_seed,node,method,test_seed,scenario,mismatch,noise_std,pulse_step,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error
lqr_node2_q1_r1,-1,2,LQR,100,mismatch,0.0,0.0,-1,0.039891310170597105,0.1758914884532418,0.1196739305117913,2.9156145490246054e-07,1.1920928955078125e-07,0.01770788123337711,0.11359332815652486,0.0,,
ppo_continuous_hopfield_node2_final_seed_1024,1024,2,PPO,100,mismatch,0.0,0.0,-1,0.04378619647707948,0.1680489185362422,0.13135858943123843,0.02279623132199049,0.005300581455230713,0.09321030374254075,5.064832514353172,0.01,,
ppo_continuous_hopfield_node2_final_seed_123,123,2,PPO,100,mismatch,0.0,0.0,-1,0.050650483402961605,0.16812074383269043,0.15195145020888481,0.04614214107026288,0.023879051208496094,0.06317512040720913,2.4323675719847113,0.005,,
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,100,mismatch,0.0,0.0,-1,0.04717061474918545,0.16743956956885384,0.14151184424755636,0.04244261483351389,0.018027007579803467,0.134648198024962,6.060362133656874,0.01,,
lqr_node3_q1_r1,-1,3,LQR,100,mismatch,0.0,0.0,-1,0.03367172317472553,0.14910792496120948,0.1010151695241766,2.7512763569384443e-06,5.960464477539062e-07,0.03009444950940024,0.24580829794185188,0.0,,
ppo_continuous_hopfield_node3_final_seed_1024,1024,3,PPO,100,mismatch,0.0,0.0,-1,0.021055429932914507,0.11487763825505727,0.06316628979874352,0.0074458162840685726,0.003931820392608643,0.09813068359347056,6.029509163254093,0.015,,
ppo_continuous_hopfield_node3_final_seed_123,123,3,PPO,100,mismatch,0.0,0.0,-1,0.022437051052215228,0.11580216768989873,0.0673111531566457,0.0162954175453863,0.02680516242980957,0.10512226755310436,6.8201264212239625,0.02,,
ppo_continuous_hopfield_node3_final_seed_42,42,3,PPO,100,mismatch,0.0,0.0,-1,0.021083370022783838,0.11437514979352915,0.06325011006835152,0.005847835194687416,0.01441943645477295,0.08994079871739533,5.346805191828404,0.015,,
lqr_node2_q1_r1,-1,2,LQR,100,mismatch,2.0,0.0,-1,0.16447942878304672,0.2807124474423188,0.4934382863491402,0.3726515380412708,0.06458660215139389,0.20005862927049783,6.596449297039782,0.0125,,
ppo_continuous_hopfield_node2_final_seed_1024,1024,2,PPO,100,mismatch,2.0,0.0,-1,0.0912359211476193,0.23960422459748434,0.2737077634428579,0.07801068038392214,0.03258253075182438,0.26880424956505433,13.91836690771286,0.035,,
ppo_continuous_hopfield_node2_final_seed_123,123,2,PPO,100,mismatch,2.0,0.0,-1,0.10738323772549072,0.24247293044723423,0.3221497131764722,0.12280203537141651,0.03046824410557747,0.24859987061814476,11.252089687696746,0.025,,
ppo_continuous_hopfield_node2_final_seed_42,42,2,PPO,100,mismatch,2.0,0.0,-1,0.10460700982785222,0.24179310135435256,0.31382102948355667,0.11892387532502596,0.04379919357597828,0.25765671249376865,12.334270409683759,0.03,,
lqr_node3_q1_r1,-1,3,LQR,100,mismatch,2.0,0.0,-1,0.08613664722372023,0.12317202573191828,0.2584099416711607,0.15735894190952365,0.07257950119674206,0.17949745262660344,3.7080507685736195,0.0,,
