scenario,node,method,model_name,train_seed,test_seed,mismatch,pulse_step,mae,steady_l1,final_l1,energy_u,saturation_fraction,mean_post_pulse_error
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,100,0.0,-1,0.04378619647707948,0.02279623132199049,0.005300581455230713,5.064832514353172,0.01,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,101,0.0,-1,0.02628094951505289,0.02203976596924074,0.010785222053527832,4.134022601471453,0.01,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,102,0.0,-1,0.062235010025677516,0.01774693752443533,0.007959723472595215,9.944471097433574,0.0225,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,103,0.0,-1,0.06565783904723711,0.02519167330759911,0.009415477514266968,9.171727037842503,0.0275,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,104,0.0,-1,0.15363072914168927,0.031839450640189976,0.0028179362416267395,20.398769668244036,0.0625,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,105,0.0,-1,0.03010296421388748,0.035212547018158215,0.011332874186336994,7.965690455206421,0.0225,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,106,0.0,-1,0.1278096632933258,0.012996803819673297,0.012780086137354374,14.835786438583238,0.03,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,107,0.0,-1,0.0973313442332297,0.022118537864981243,0.02146008610725403,10.451902625103834,0.0225,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,108,0.0,-1,0.027006655200659386,0.030975798501368657,0.0035445839166641235,4.609687672515112,0.0125,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,109,0.0,-1,0.09101491813576554,0.04343409616684104,0.01281789131462574,9.557652018644609,0.02,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,110,0.0,-1,0.03757264706517507,0.04420081300683963,0.025247320532798767,5.91426054539534,0.0175,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,111,0.0,-1,0.2619816522295521,0.04212284519302624,0.0324914176017046,31.497120061572144,0.095,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,112,0.0,-1,0.03382945856457253,0.02251373526904686,0.017780184745788574,3.846906834710373,0.01,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,113,0.0,-1,0.21776651957978868,0.02452731032476381,0.031536221504211426,20.08001973035098,0.045,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,114,0.0,-1,0.028591492881221155,0.029574179653952152,0.021513625979423523,1.3234868431692626,0.0025,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,115,0.0,-1,0.054387067491459606,0.035720100091701304,0.06691430509090424,2.5725856004842824,0.0025,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,116,0.0,-1,0.044164009946951965,0.03583987793068827,0.05597473680973053,5.161238492696648,0.0125,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,117,0.0,-1,0.09686833577356761,0.03076333911905502,0.024982117116451263,16.175796525554254,0.0325,
nominal,2,PPO,ppo_continuous_hopfield_node2_final_seed_1024,1024,118,0.0,-1,0.038271229721896866,0.036843518186130644,0.010226517915725708,3.3144625331206075,0.0075,
