#{"t_start": 1788625365.5867958, "env_id": "None"}
r,l,t
-224.639264,400,3.043027
-247.65335,400,4.71702
-187.65824,400,6.382209
-222.003943,400,8.024439
-144.7815,400,9.062676
-124.134452,400,10.642368
-120.368665,400,12.275484
-139.721663,400,13.881813
-86.031418,400,15.450648
-101.660716,400,16.502971
-80.3963,400,18.148052
-58.984946,400,19.739123
-53.372142,400,21.393702
-52.155543,400,22.427101
-44.595567,400,24.02578
-38.055571,400,25.610894
-38.1417,400,27.296265
-30.150147,400,28.879127
-28.79876,400,29.932698
-28.363687,400,31.506764
-28.139381,400,33.143953
-21.991714,400,34.92592
-21.127887,400,36.060448
-21.825496,400,37.657093
-19.795191,400,39.283384
-19.236405,400,40.924946
-17.217729,400,42.583103
-17.30951,400,43.635389
-16.320717,400,45.238684
-16.09597,400,46.857154
-15.603873,400,48.520927
-14.944301,400,49.610387
-15.561563,400,51.217267
-14.095383,400,52.853282
-13.971674,400,54.431592
-15.409881,400,56.060939
-12.906723,400,57.161742
-13.979235,400,58.762404
-13.773416,400,60.343592
-12.278017,400,61.924706
-11.661144,400,63.524051
-11.581684,400,64.71238
-11.619958,400,66.34879
-11.16236,400,68.028997
-11.321873,400,69.581704
-12.438087,400,70.684619
-10.556123,400,72.35488
-12.89688,400,73.939541
-10.687584,400,75.534797
-10.022777,400,77.112384
-11.707372,400,78.161482
-10.05815,400,79.816647
-9.88992,400,81.538767
-9.842391,400,83.238964
-9.630245,400,84.358275
-10.498478,400,86.069782
-9.043494,400,87.78846
-9.442964,400,89.420857
-9.476685,400,91.09925
-9.258945,400,92.192476
-9.327524,400,93.815503
-10.792877,400,95.531261
-9.003337,400,97.231752
-9.030317,400,98.332874
-8.757703,400,100.111995
-8.970481,400,101.767236
-8.750695,400,103.507829
-8.383991,400,105.236653
-8.762673,400,106.367007
-10.183101,400,108.092478
-8.501046,400,109.869219
-8.267538,400,111.619107
-9.095753,400,113.375384
-8.071214,400,114.476178
-8.197152,400,116.199056
-7.82569,400,117.888153
-8.526395,400,119.627178
-7.703183,400,120.808539
-8.363759,400,122.579133
-7.768323,400,124.306659
-7.876834,400,126.022118
-7.910513,400,127.755035
-8.214857,400,128.941872
-7.189773,400,130.602419
-8.102521,400,132.318182
-6.768491,400,133.949681
-6.85128,400,135.065463
-6.785652,400,136.816922
-7.013832,400,138.510871
-6.714384,400,140.223207
-6.447991,400,141.908301
-6.582705,400,143.033215
-6.0116,400,144.794592
-6.001951,400,146.575531
-6.687401,400,148.284905
-5.865241,400,149.431417
-5.640801,400,151.2372
-5.791295,400,152.957419
-5.608848,400,154.854061
-5.334836,400,156.796225
-5.233137,400,157.953685
-6.395276,400,159.562582
-5.327289,400,161.195558
-5.083718,400,162.848125
-5.422805,400,164.442237
-4.945854,400,165.494063
-4.87187,400,167.143298
-5.116895,400,168.903812
-4.920472,400,170.557336
-4.512901,400,171.618069
-4.492172,400,173.171166
-5.536019,400,174.783565
-4.582215,400,176.426395
-4.224862,400,178.091241
-4.225682,400,179.204193
-4.107159,400,180.785617
-3.923656,400,182.44505
-4.342606,400,184.082381
-3.841284,400,185.204621
-4.960178,400,186.830961
-3.814663,400,188.475507
-3.937068,400,190.141876
-3.602655,400,191.845103
-3.686885,400,192.939523
-4.225014,400,194.562234
-3.515921,400,196.209103
-3.564892,400,197.790973
-3.248819,400,198.862529
-3.25463,400,200.494936
-3.493096,400,202.143284
-3.388084,400,203.745368
-3.446765,400,205.357333
-3.006546,400,206.42323
-4.013126,400,208.107326
-2.979178,400,209.744665
-3.075936,400,211.576235
-2.992626,400,213.349821
-3.117077,400,214.574807
-2.762501,400,216.552144
-2.678808,400,218.411306
-3.682285,400,220.182965
-6.700449,400,221.344948
-2.64158,400,223.185463
-2.802762,400,224.952497
-2.810783,400,226.757231
-2.550897,400,228.56391
-2.827618,400,229.709253
-2.510458,400,231.526346
-3.610345,400,233.336288
-3.636364,400,235.25205
-2.242247,400,236.50707
-2.264632,400,238.356757
-2.380248,400,240.197873
-2.307813,400,242.069526
-3.017146,400,243.965582
-4.889163,400,245.21032
-2.528264,400,247.084599
-4.287917,400,248.945028
-1.954808,400,250.845544
-2.184005,400,252.139406
-3.006948,400,254.020578
-2.240645,400,255.980179
-2.086832,400,257.915876
-2.233241,400,259.877635
-1.90713,400,261.142568
-2.111377,400,262.962754
-2.136267,400,264.850548
-1.805395,400,266.790602
-2.400884,400,268.810726
-1.711309,400,270.167414
-2.23666,400,272.091799
-1.580419,400,273.960938
-1.765455,400,275.843985
-2.364033,400,277.131994
-3.979689,400,279.024656
-1.569929,400,280.855649
-2.172655,400,282.717726
-1.538113,400,284.588955
-1.612123,400,285.875651
-1.749273,400,287.737865
-3.103563,400,289.644143
-1.613431,400,291.566549
-3.357381,400,292.759469
-1.839186,400,294.675754
-1.926669,400,296.563502
-2.440792,400,298.486915
-2.453385,400,300.365337
-1.419362,400,301.620703
-1.46291,400,303.575306
-1.853566,400,305.420094
-1.844238,400,307.32893
-1.393817,400,308.568112
-1.499077,400,310.42766
-1.638858,400,312.422841
-1.614205,400,314.414842
-1.236644,400,316.470979
-1.445163,400,317.743024
-1.426148,400,319.718135
-1.550036,400,321.753836
-1.166504,400,323.641386
-1.172175,400,325.627877
-2.056177,400,326.858025
-1.056401,400,328.755267
-1.111796,400,330.809828
-1.042339,400,332.861862
-1.142473,400,334.37497
-1.055912,400,336.664898
-1.390466,400,338.748908
-1.229037,400,340.84308
-1.389519,400,343.099338
-1.103709,400,344.542923
-1.144146,400,346.679919
-2.628323,400,348.802129
-1.461012,400,351.044359
-0.969664,400,352.444243
-2.150026,400,354.621038
-1.506235,400,356.834648
-0.993786,400,358.994662
-1.043698,400,361.168012
-1.406597,400,362.761268
-1.067132,400,365.11721
-2.421217,400,367.237219
-1.115298,400,369.358216
-1.233163,400,370.86408
-1.870792,400,373.119687
-0.956247,400,375.300768
-1.892741,400,377.580849
-3.021699,400,379.760849
-1.186024,400,381.152805
-1.292695,400,383.610643
-1.075771,400,385.9664
-1.966035,400,388.197669
-1.160759,400,390.551431
-1.415879,400,392.058097
-2.71202,400,394.42848
-2.342768,400,396.605591
-1.368257,400,398.585385
-1.211894,400,399.885048
-1.341866,400,401.877287
-1.148642,400,403.922231
-2.846304,400,405.925863
-0.847382,400,407.868294
-0.996314,400,409.127949
-2.189954,400,411.045497
-1.292771,400,412.975474
-0.927847,400,414.883374
-0.870638,400,416.189389
-1.078034,400,418.027346
-1.914697,400,419.885384
-1.007735,400,421.779617
