#{"t_start": 1788625365.535046, "env_id": "None"}
r,l,t
-198.469165,400,3.08023
-180.765881,400,4.77731
-161.440085,400,6.460571
-218.002156,400,8.080188
-143.908981,400,9.124468
-101.46289,400,10.710695
-108.366482,400,12.360349
-73.732975,400,13.977868
-73.768313,400,15.529483
-59.218219,400,16.582945
-47.822674,400,18.214914
-36.822851,400,19.813988
-37.35797,400,21.418694
-30.649111,400,22.456786
-25.110291,400,24.032385
-24.536011,400,25.572194
-26.832422,400,27.241935
-25.04503,400,28.790645
-23.702968,400,29.846552
-18.225693,400,31.416558
-18.670535,400,33.032979
-20.366671,400,34.758604
-15.462475,400,35.895274
-16.110853,400,37.494363
-14.274346,400,39.084376
-15.169643,400,40.705387
-12.308006,400,42.349282
-12.760255,400,43.393293
-10.921178,400,44.995737
-13.13317,400,46.544315
-12.522184,400,48.185837
-11.099391,400,49.273488
-12.113909,400,50.833512
-12.413744,400,52.456087
-11.241491,400,54.005336
-13.208784,400,55.586684
-11.802005,400,56.678288
-11.738809,400,58.266269
-13.748952,400,59.841046
-10.643,400,61.395451
-8.596797,400,62.981306
-10.14049,400,64.083171
-9.792901,400,65.762586
-9.178929,400,67.391241
-8.938044,400,69.00406
-11.612304,400,70.065549
-8.589536,400,71.705316
-11.179514,400,73.327856
-9.768396,400,74.945711
-8.466114,400,76.447715
-10.801964,400,77.490259
-8.806745,400,79.109852
-8.030098,400,80.779927
-8.034625,400,82.48274
-8.13922,400,83.58562
-11.205099,400,85.261568
-8.24277,400,86.985079
-8.111786,400,88.668322
-7.638857,400,90.316301
-9.211347,400,91.391642
-9.149027,400,93.033197
-11.663143,400,94.695237
-7.607865,400,96.419472
-8.706016,400,97.532615
-7.397643,400,99.261359
-8.268638,400,100.946297
-8.897326,400,102.578582
-7.639058,400,104.330544
-7.732911,400,105.472152
-10.096993,400,107.169314
-8.690297,400,108.826226
-7.837243,400,110.57207
-8.691438,400,112.315885
-7.553136,400,113.459298
-7.44561,400,115.151748
-7.098769,400,116.814784
-9.945022,400,118.509993
-8.341324,400,119.676415
-10.421211,400,121.417262
-7.414742,400,123.153652
-9.138554,400,124.835947
-9.732382,400,126.551749
-10.366224,400,127.712392
-7.116662,400,129.454044
-8.804292,400,131.132225
-7.454093,400,132.804625
-6.850708,400,133.895924
-8.163339,400,135.604909
-7.957345,400,137.317334
-7.312241,400,138.955073
-7.696991,400,140.632844
-6.559325,400,141.744967
-7.125436,400,143.458891
-6.894962,400,145.21493
-8.129943,400,146.936472
-6.613985,400,148.072149
-7.354096,400,149.776428
-6.600879,400,151.557586
-6.902609,400,153.305831
-6.709242,400,155.176957
-7.733269,400,156.484012
-8.513672,400,158.267086
-7.089101,400,159.847637
-6.945338,400,161.454809
-7.525099,400,163.117659
-6.993745,400,164.162303
-7.670106,400,165.742398
-7.844694,400,167.380574
-7.788529,400,169.105187
-6.86266,400,170.276276
-5.912493,400,171.812016
-7.757549,400,173.379898
-7.500612,400,175.002569
-7.356593,400,176.623043
-6.070326,400,177.724464
-6.70019,400,179.35815
-5.911715,400,180.912369
-7.860973,400,182.544515
-6.587689,400,183.626928
-9.933482,400,185.265397
-5.95467,400,186.882711
-6.118897,400,188.492592
-6.248904,400,190.098602
-5.735263,400,191.234063
-8.140417,400,192.890149
-7.590842,400,194.516542
-7.226442,400,196.136178
-5.798803,400,197.187343
-5.926009,400,198.808047
-5.988821,400,200.431547
-7.413337,400,202.048726
-7.698854,400,203.656581
-6.149965,400,204.739449
-9.521435,400,206.306693
-5.748102,400,207.979268
-6.690474,400,209.587682
-6.725055,400,211.380847
-6.825841,400,212.51246
-5.694537,400,214.371505
-5.270975,400,216.327993
-7.678094,400,218.149324
-11.867924,400,219.366088
-5.502023,400,221.066787
-6.52072,400,222.919176
-6.289527,400,224.668173
-5.217286,400,226.439719
-5.986441,400,227.5908
-6.202977,400,229.39615
-6.413963,400,231.137445
-6.687335,400,232.949754
-4.886453,400,234.141788
-4.931538,400,236.066046
-6.418967,400,237.92114
-5.019181,400,239.729267
-6.050604,400,241.597641
-8.727569,400,242.793774
-5.365814,400,244.670831
-8.196738,400,246.523606
-4.422289,400,248.35144
-5.447235,400,249.616166
-5.694199,400,251.509813
-4.826373,400,253.4006
-5.121406,400,255.32305
-5.406107,400,257.185225
-4.572475,400,258.51226
-4.802404,400,260.452337
-5.906127,400,262.336962
-4.653778,400,264.156774
-6.43085,400,266.092445
-3.949011,400,267.42142
-6.512006,400,269.390982
-4.224095,400,271.361916
-5.210152,400,273.258821
-5.449094,400,274.50131
-6.7751,400,276.373876
-3.993115,400,278.253829
-6.449939,400,280.154671
-3.607036,400,281.974872
