#{"t_start": 1788624393.2719603, "env_id": "None"}
r,l,t
-215.845489,400,2.70815
-154.435345,400,3.100108
-122.266023,400,3.482743
-190.118887,400,3.863117
-172.708046,400,4.22171
-188.051824,400,4.577046
-204.211651,400,4.953048
-207.022326,400,5.296965
-170.289604,400,5.668416
-223.445045,400,6.03635
-208.8218,400,6.382427
-222.95052,400,6.760693
-249.19502,400,9.18306
-187.605995,400,13.591404
-194.312036,400,18.086732
-225.391449,400,22.585482
-169.500633,400,27.077121
-229.350062,400,31.468571
-243.123302,400,35.675588
-162.557512,400,40.104016
-122.906819,400,44.514997
-184.794838,400,49.127491
-160.578694,400,53.548971
-123.057386,400,58.061013
-218.91599,400,62.693943
-120.520656,400,67.224214
-48.785204,400,71.608912
-51.522961,400,76.138145
-36.346573,400,80.789835
-52.582227,400,85.321837
-38.837223,400,89.722426
-38.970683,400,94.269629
-64.71181,400,98.755311
-47.302605,400,103.25729
-50.922952,400,107.73806
-72.922852,400,111.844898
-56.480676,400,116.014802
-72.796372,400,120.05691
-50.614705,400,124.398974
-36.614086,400,128.712535
-38.565202,400,132.860053
-36.194959,400,137.132472
-29.937039,400,141.49546
-28.733393,400,145.700331
-43.577534,400,149.738152
-58.41767,400,153.903662
-27.800903,400,158.062337
-53.862488,400,162.428583
-31.627036,400,166.362865
-36.766611,400,170.328893
-48.362272,400,174.396513
-41.665888,400,178.659656
-35.248643,400,182.722811
-22.130766,400,186.836195
-33.747186,400,191.041124
-54.45574,400,195.230537
-31.295696,400,199.421077
-34.431434,400,203.637734
-34.582513,400,207.660983
-25.275971,400,211.625224
-32.292513,400,215.544287
-37.67256,400,219.795149
-23.122856,400,223.749829
-35.527978,400,227.766132
-30.434738,400,231.700281
-26.323067,400,235.583936
-18.928221,400,239.450532
-24.427058,400,243.541373
-24.273626,400,247.327834
-39.838995,400,251.130058
-18.163684,400,254.951318
-13.176527,400,259.118773
-17.774511,400,263.103467
-14.050973,400,267.104874
-10.552992,400,271.091026
-11.108114,400,275.063252
-23.097648,400,279.163662
-11.809888,400,283.230911
-26.925396,400,287.22862
-12.964429,400,291.318258
-12.11407,400,295.234861
-13.489966,400,299.177685
-20.028328,400,303.284751
-9.379356,400,307.245765
-33.232365,400,311.338252
-13.883052,400,315.416627
-9.579094,400,319.727765
-11.12273,400,323.789879
-22.191149,400,327.833889
-17.839478,400,332.100744
-15.426524,400,336.283012
-12.898803,400,340.162547
-10.962606,400,344.179229
-12.569389,400,348.088843
-19.69159,400,352.042912
-13.886663,400,355.957484
-9.205148,400,359.90573
-11.943787,400,364.004599
-11.546572,400,367.980172
-11.273191,400,371.880818
-12.955029,400,375.88548
-43.746634,400,379.755484
-11.194221,400,383.737701
-20.713214,400,387.759533
-20.649273,400,391.678182
-13.052374,400,395.646026
-10.845395,400,399.563297
-32.114405,400,403.626764
-13.401653,400,407.682317
-13.727317,400,411.816126
-13.885875,400,416.016902
-22.260964,400,419.950147
-30.265695,400,423.989103
-15.333644,400,427.96347
-16.9729,400,432.083178
-14.162575,400,436.26281
-16.907526,400,440.383296
-15.980344,400,444.419603
-15.972943,400,448.252637
-23.661046,400,452.458417
-13.966885,400,456.545451
-14.165534,400,460.705835
-17.44522,400,464.909556
-22.159204,400,468.960908
-21.987001,400,473.189258
-17.807187,400,477.186683
-19.887415,400,481.209118
-13.26763,400,485.297946
-14.736997,400,489.447341
-27.210014,400,493.485988
-17.636542,400,497.572304
-14.965696,400,501.57292
-10.164712,400,505.776516
-27.124155,400,510.38466
-9.382596,400,515.011857
-13.631126,400,519.722692
-7.158215,400,524.441891
-15.517059,400,529.112026
-7.577971,400,533.80222
-7.263753,400,538.539111
-23.797141,400,543.109184
-63.353092,400,547.736072
-7.392141,400,552.365859
-11.630447,400,556.917995
-27.292786,400,561.43606
-10.960175,400,566.083289
-11.797918,400,570.615027
-5.190535,400,574.78526
-24.519291,400,578.870771
-33.92171,400,582.854843
