method,controlled_nodes,num_control_inputs,node,controller_seed,test_seed,scenario,mismatch,noise_std,pulse_step,observation_dim,action_limit,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error
LQR,2,1,2,-1,100,nominal,0.0,0.0,-1,3,4.0,0,deterministic,"[0.6699632406234741, 0.19310805201530457, -0.42227351665496826]","[-0.9140968322753906, 0.9473087787628174, 0.19294340908527374]",0.039891310170597105,0.1758914884532418,0.1196739305117913,2.9156145490246054e-07,1.1920928955078125e-07,0.01770788123337711,0.11359332815652486,0.0,,
LQR,2,1,2,-1,101,nominal,0.0,0.0,-1,3,4.0,0,deterministic,"[0.8870649933815002, -0.2811579406261444, 0.5696108341217041]","[0.1825563758611679, -0.41134288907051086, 0.8454513549804688]",0.019031788669476257,0.07043030734396469,0.057095366008428766,1.8338431362752562e-07,1.6205012798309326e-07,0.02431365363685615,0.515950011658273,0.0,,
LQR,2,1,2,-1,102,nominal,0.0,0.0,-1,3,4.0,0,deterministic,"[-0.6800177097320557, 0.17188702523708344, 0.6476735472679138]","[-0.4054795205593109, 0.36979904770851135, -0.07223168015480042]",0.07351619550710155,0.25016716668357153,0.22054858652130466,5.503570270023228e-08,0.0,0.0907323790218887,3.5762630772842616,0.005,,
LQR,2,1,2,-1,103,nominal,0.0,0.0,-1,3,4.0,0,deterministic,"[-0.3746335208415985, -0.5513635277748108, -0.6359805464744568]","[0.7203572988510132, 0.715084969997406, -0.7928751111030579]",0.0966143471682181,0.2843115076683705,0.2898430415046543,3.03013273227362e-07,0.0,0.10137642754722458,5.028465392496943,0.01,,
LQR,2,1,2,-1,104,nominal,0.0,0.0,-1,3,4.0,0,deterministic,"[0.6771296262741089, 0.3842962980270386, -0.5678223371505737]","[-0.7491762042045593, -0.24986141920089722, 0.5077770352363586]",0.1418770228037247,0.49410450340179723,0.42563106841117404,1.7554855641023612e-07,0.0,0.1616634911666214,8.830092997531619,0.02,,
LQR,2,1,2,-1,105,nominal,0.0,0.0,-1,3,4.0,0,deterministic,"[0.2763906717300415, 0.9829195737838745, -0.8065410852432251]","[0.013408683240413666, -0.2071221023797989, -0.5879675149917603]",0.02036829702889025,0.08863313227987847,0.06110489108667075,0.0,0.0,0.082144861011212,4.632174154264737,0.01,,
LQR,2,1,2,-1,106,nominal,0.0,0.0,-1,3,4.0,0,deterministic,"[0.9648157358169556, -0.9191997051239014, -0.7544265985488892]","[-0.07146907597780228, 0.9288845658302307, -0.7224013805389404]",0.14377378944568073,0.4358584198538221,0.4313213683370422,2.5219008050583026e-08,9.313225746154785e-09,0.14638978585779638,7.149826920179432,0.015,,
LQR,2,1,2,-1,107,nominal,0.0,0.0,-1,3,4.0,0,deterministic,"[0.2970718443393707, -0.044622860848903656, 0.005474763922393322]","[0.46956777572631836, -0.017653441056609154, -0.8469340801239014]",0.10603271361888662,0.34892348252280075,0.3180981408566599,0.0,0.0,0.09288029666051033,3.23970039234855,0.005,,
LQR,2,1,2,-1,108,nominal,0.0,0.0,-1,3,4.0,0,deterministic,"[0.7119876146316528, 0.2645502984523773, -0.7641888856887817]","[-0.2987346351146698, -0.5197822451591492, -0.8483289480209351]",0.02510613458867263,0.1025170587339713,0.0753184037660179,0.0,0.0,0.04547792366119626,1.3609925464607189,0.0,,
LQR,2,1,2,-1,109,nominal,0.0,0.0,-1,3,4.0,0,deterministic,"[0.08748450130224228, 0.6828176975250244, 0.5001521706581116]","[-0.33672913908958435, 0.19850623607635498, -0.6109974980354309]",0.10288624837142991,0.3554414453368129,0.30865874511428976,1.0081279424973476e-07,0.0,0.09176378788263082,3.0387678470005297,0.0025,,
