method,controlled_nodes,num_control_inputs,node,controller_seed,test_seed,scenario,mismatch,noise_std,pulse_step,observation_dim,action_limit,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error
Linear,3,1,3,-1,100,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.6699632406234741, 0.19310805201530457, -0.42227351665496826]","[-0.9140968322753906, 0.9473087787628174, 0.19294340908527374]",0.021983703159524325,0.12015840320695287,0.06595110947857297,3.5415897950714015e-06,5.960464477539062e-07,0.05204778279356677,1.7570844704096584,0.0025,,
Linear,3,1,3,-1,101,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.8870649933815002, -0.2811579406261444, 0.5696108341217041]","[0.1825563758611679, -0.41134288907051086, 0.8454513549804688]",0.01995404808450504,0.07287008570269901,0.059862144253515125,1.4122564023659554e-05,7.233582437038422e-06,0.02691434533161081,0.4224651585470671,0.0,,
Linear,3,1,3,-1,102,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[-0.6800177097320557, 0.17188702523708344, 0.6476735472679138]","[-0.4054795205593109, 0.36979904770851135, -0.07223168015480042]",0.01802361697225726,0.07427956707139724,0.05407085091677179,3.561215442145404e-05,1.2159347534179688e-05,0.05081621058601096,2.7847295491138713,0.005,,
Linear,3,1,3,-1,103,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[-0.3746335208415985, -0.5513635277748108, -0.6359805464744568]","[0.7203572988510132, 0.715084969997406, -0.7928751111030579]",0.08361780541766659,0.23891637124997697,0.25085341625299973,0.00029434445946488854,0.0001239180564880371,0.13393354200133287,2.6681223308519453,0.0,,
Linear,3,1,3,-1,104,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.6771296262741089, 0.3842962980270386, -0.5678223371505737]","[-0.7491762042045593, -0.24986141920089722, 0.5077770352363586]",0.062906765452751,0.2346832103110601,0.18872029635825305,2.0345851181097972e-05,8.277595043182373e-06,0.10225038213697157,5.585558320684676,0.015,,
Linear,3,1,3,-1,105,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.2763906717300415, 0.9829195737838745, -0.8065410852432251]","[0.013408683240413666, -0.2071221023797989, -0.5879675149917603]",0.0457853637097662,0.1481528955364029,0.13735609112929859,1.464242023634322e-05,4.889443516731262e-06,0.08139386617966424,1.9412351778154655,0.0,,
Linear,3,1,3,-1,106,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.9648157358169556, -0.9191997051239014, -0.7544265985488892]","[-0.07146907597780228, 0.9288845658302307, -0.7224013805389404]",0.06799560076553617,0.20210916299435946,0.20398680229660848,0.0001379321401156945,8.196849375963211e-05,0.1472764528888345,4.405870102081179,0.0,,
Linear,3,1,3,-1,107,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.2970718443393707, -0.044622860848903656, 0.005474763922393322]","[0.46956777572631836, -0.017653441056609154, -0.8469340801239014]",0.022034418936013704,0.07253483415042201,0.06610325680804112,4.368080516104345e-05,1.913309097290039e-05,0.07826948451096577,3.442198615540544,0.0075,,
Linear,3,1,3,-1,108,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.7119876146316528, 0.2645502984523773, -0.7641888856887817]","[-0.2987346351146698, -0.5197822451591492, -0.8483289480209351]",0.04472725455176375,0.1487072932793692,0.13418176365529125,1.8942189966270954e-05,8.143484592437744e-06,0.04699884547487347,0.5018665375729888,0.0,,
Linear,3,1,3,-1,109,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.08748450130224228, 0.6828176975250244, 0.5001521706581116]","[-0.33672913908958435, 0.19850623607635498, -0.6109974980354309]",0.03387185643989893,0.1108555277033549,0.1016155693196968,4.193404068549474e-05,1.1994503438472748e-05,0.11105232832586379,4.986510397228496,0.0125,,
Linear,3,1,3,-1,110,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.8609856367111206, 0.024875562638044357, 0.4250466525554657]","[0.004447660408914089, -0.5202997922897339, 0.7527093887329102]",0.044841820740505606,0.1346233266213161,0.13452546222151682,7.424156330985788e-05,9.98377799987793e-06,0.0735172650955636,1.2035226626332696,0.0,,
Linear,3,1,3,-1,111,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[-0.6926772594451904, -0.661393404006958, 0.011928629130125046]","[0.31623774766921997, 0.5351617336273193, -0.781545102596283]",0.07882400245951715,0.250360506397263,0.23647200737855145,2.690655305797671e-05,9.081326425075531e-06,0.14100236471328986,6.47547202408995,0.0125,,
Linear,3,1,3,-1,112,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[-0.7670819759368896, 0.6883071660995483, 0.597346842288971]","[-0.9652067422866821, -0.8461065888404846, -0.007087308447808027]",0.08092000360963734,0.22408597532605146,0.24276001082891205,0.00012229397364052724,3.8743019104003906e-05,0.1621677866600398,4.676281828454406,0.0025,,
Linear,3,1,3,-1,113,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[-0.8588438034057617, -0.698262095451355, -0.7104744911193848]","[0.2209867388010025, -0.08093313872814178, 0.9977114200592041]",0.055289700648616553,0.1948556599583689,0.16586910194584964,3.5573383448300536e-05,5.841255187988281e-06,0.15774255941745052,7.981819935421297,0.02,,
Linear,3,1,3,-1,114,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.45577654242515564, -0.715681791305542, -0.13323155045509338]","[0.4082243740558624, 0.21660929918289185, 0.29059258103370667]",0.03781834119845318,0.11927139204819237,0.11345502359535954,2.429147975312339e-05,1.1786818504333496e-05,0.08018197692196788,1.8947755154623334,0.0,,
Linear,3,1,3,-1,115,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.40467604994773865, 0.20741814374923706, 0.08833812177181244]","[0.6422944664955139, -0.9984564185142517, -0.7643713355064392]",0.0568908715987592,0.16424399350411623,0.1706726147962776,7.466597620535779e-05,1.3321638107299805e-05,0.13569402017461094,4.437759374876357,0.005,,
Linear,3,1,3,-1,116,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[-0.655260443687439, 0.7538442015647888, 0.9143562912940979]","[0.9017144441604614, 0.015369722619652748, 0.1966596394777298]",0.021714124383818256,0.1209877052636025,0.06514237315145477,1.3357695238089856e-06,1.4901161193847656e-07,0.048369823437081905,1.8258625159485569,0.0025,,
Linear,3,1,3,-1,117,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.7500235438346863, -0.6842380166053772, 0.20812228322029114]","[-0.2790674567222595, 0.026706794276833534, -0.3951078951358795]",0.015421743801595986,0.06679026822789312,0.04626523140478796,5.0981805004455424e-06,2.08243727684021e-06,0.07145033500382579,3.8327717910341264,0.0075,,
Linear,3,1,3,-1,118,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.8613792657852173, 0.8751238584518433, -0.4448915421962738]","[-0.569055438041687, 0.06076839566230774, -0.9266456365585327]",0.05530734728973015,0.18405323532990653,0.16592204186919046,1.622303561479957e-05,5.319714546203613e-06,0.07473086219680428,1.9362740135691632,0.0,,
Linear,3,1,3,-1,119,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.9124807715415955, 0.4642244279384613, 0.638034999370575]","[-0.7128913998603821, 0.5132739543914795, -0.9522490501403809]",0.04613120030768135,0.18894205035851372,0.13839360092304406,3.9802628488820275e-05,8.702278137207031e-06,0.15076978176720718,8.767753764066413,0.025,,
Linear,3,1,3,-1,100,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[-0.6200170516967773, 0.9629579782485962, -0.4305199086666107]","[0.2585463523864746, 0.16207295656204224, 0.19982454180717468]",0.03680133114256126,0.08140031090662304,0.11040399342768377,0.042933068968309666,0.022235972806811333,0.09877602243679866,3.8127008685817216,0.0075,,
Linear,3,1,3,-1,101,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[-0.550951361656189, 0.6109917163848877, 0.3617924749851227]","[-0.05787895619869232, -0.9383890628814697, 0.7895963788032532]",0.07098650215840059,0.19307825516746382,0.21295950647520176,0.016731569244537826,0.01719003915786743,0.15878210970179696,5.8414499687301635,0.0,,
Linear,3,1,3,-1,102,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[-0.5149568915367126, -0.7814074754714966, -0.3089001476764679]","[0.5584290027618408, 0.0793050229549408, 0.8485109210014343]",0.06305684096912265,0.1771167984875588,0.18917052290736794,0.03123734739643556,0.010830961167812347,0.15286789886058863,6.131900747041589,0.0125,,
Linear,3,1,3,-1,103,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[-0.12263999134302139, -0.037186793982982635, 0.47996628284454346]","[-0.12207181006669998, 0.919745683670044, -0.3810819089412689]",0.053530676734377496,0.1525473571384939,0.16059203020313248,0.040708962804925294,0.023874402046203613,0.1315146253126072,5.684274673998477,0.015,,
Linear,3,1,3,-1,104,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[0.6484106183052063, -0.8674346804618835, 0.07659447193145752]","[0.5117452144622803, 0.6506502032279968, -0.5617742538452148]",0.08074818026945645,0.20259032110948036,0.24224454080836935,0.044463507629884984,0.025980280712246895,0.149424047629695,6.604207682981697,0.015,,
Linear,3,1,3,-1,105,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[-0.42927682399749756, 0.11211804300546646, 0.4673515558242798]","[-0.602249801158905, -0.4704720079898834, -0.3490790128707886]",0.033609039907313495,0.09023887077276867,0.10082711972194047,0.02848169023607984,0.05326050519943237,0.09589176131714312,3.182955500296965,0.005,,
Linear,3,1,3,-1,106,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[-0.8895044922828674, 0.2718296945095062, -0.8628385663032532]","[0.9502007961273193, -0.6974973678588867, -0.4096177816390991]",0.030999419681963233,0.11910050999108877,0.0929982590458897,0.013103293918970006,0.011732805520296097,0.07783339086204692,2.8490190798379436,0.0,,
Linear,3,1,3,-1,107,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",0.08262933763587911,0.2085450600098412,0.24788801290763732,0.05138799467664442,0.04834014177322388,0.14339196511040306,4.540217379631367,0.01,,
Linear,3,1,3,-1,108,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[0.2364661693572998, 0.06543176621198654, 0.1095544770359993]","[-0.17992550134658813, -0.7554280757904053, 0.9981473684310913]",0.09129982732479473,0.1944314206689184,0.2738994819743842,0.05745104061048708,0.078396737575531,0.19027132368147223,6.209713278937518,0.0125,,
Linear,3,1,3,-1,109,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[0.9988187551498413, 0.9677178263664246, 0.040775928646326065]","[0.3314192593097687, -0.585135817527771, 0.520487904548645]",0.08195301344469562,0.24451685059583173,0.24585904033408684,0.02557904581412857,0.012175269424915314,0.15024766442075632,5.58509886540284,0.0,,
Linear,3,1,3,-1,110,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[-0.10864169895648956, 0.04931486025452614, -0.4704791009426117]","[-0.871351957321167, 0.2730865180492401, -0.019966647028923035]",0.01970204060524857,0.06334389268101656,0.059106121815745705,0.03369299005314616,0.023713909089565277,0.0533306897197504,1.0009973539390777,0.0,,
Linear,3,1,3,-1,111,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[-0.6049723625183105, -0.32344892621040344, 0.43083447217941284]","[-0.8419704437255859, -0.16797947883605957, -0.20451059937477112]",0.018071219899690866,0.04093438319631369,0.0542136596990726,0.021745006372738216,0.0032235505059361458,0.061594203806614636,2.4952116366133925,0.005,,
Linear,3,1,3,-1,112,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[0.4448135197162628, -0.9011456966400146, 0.6439449191093445]","[0.9329946637153625, 0.5882050395011902, 0.9689865112304688]",0.059050414291251505,0.1822240192423909,0.1771512428737545,0.01572082675188596,0.0008129850029945374,0.09867628710228309,1.813345234966527,0.0,,
Linear,3,1,3,-1,113,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[0.41863173246383667, -0.023482682183384895, 0.2279641479253769]","[-0.4255177676677704, -0.7030157446861267, -0.44172894954681396]",0.05524761509808308,0.14187997402052224,0.16574284529424926,0.031084967782881893,0.017587140202522278,0.1201579350783046,3.0745722350048452,0.005,,
Linear,3,1,3,-1,114,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[-0.7814548015594482, -0.6798140406608582, -0.9797838926315308]","[0.11529668420553207, -0.6668115258216858, -0.3657369315624237]",0.019461764737844455,0.06419558334746453,0.05838529421353336,0.003623930610900308,0.006105139851570129,0.060098477910990426,2.1250212114558837,0.0025,,
Linear,3,1,3,-1,115,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[-0.13505227863788605, -0.6992138028144836, -0.6386840343475342]","[-0.08365152776241302, -0.7399067878723145, -0.1394127458333969]",0.014719635318633377,0.028906064123027327,0.04415890595590013,0.032723587862917305,0.05352964997291565,0.04570047744082988,1.4877141655876374,0.0,,
Linear,3,1,3,-1,116,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[0.0036390621680766344, -0.36614876985549927, -0.6434957981109619]","[0.9050279259681702, 0.8802486658096313, -0.9539850950241089]",0.08897206887249787,0.23311208192985067,0.2669162066174936,0.07786752521577808,0.07114103715866804,0.1448296198152247,3.1385662643604153,0.0,,
Linear,3,1,3,-1,117,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[0.11515316367149353, 0.7238221168518066, -0.36945784091949463]","[-0.9954982399940491, 0.7611866593360901, 0.800013542175293]",0.037197890950998576,0.16976068107101291,0.11159367285299572,0.006340308896737334,0.0022955015301704407,0.08184408781552999,4.636307002734987,0.0125,,
Linear,3,1,3,-1,118,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[0.7532855868339539, -0.8538441061973572, 0.6052027344703674]","[0.3583809733390808, -0.14669764041900635, -0.04589289054274559]",0.033005467489638916,0.08020876900542256,0.09901640246891674,0.024038352664376116,0.009485207498073578,0.08055239043052208,3.4052591845301112,0.005,,
Linear,3,1,3,-1,119,mismatch,0.5,0.0,-1,1,4.0,0,deterministic,"[0.9546050429344177, -0.7296091914176941, 0.7618905305862427]","[-0.6044704914093018, 0.3422892987728119, 0.2229812741279602]",0.029277044227068078,0.10653369177370078,0.08783113268120424,0.02006292689798607,0.0018321797251701355,0.09742189269800881,3.859887955258289,0.005,,
Linear,3,1,3,-1,100,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[-0.6200170516967773, 0.9629579782485962, -0.4305199086666107]","[0.2585463523864746, 0.16207295656204224, 0.19982454180717468]",0.05459882496335139,0.09648692669904685,0.16379647489005417,0.08551059834038217,0.04430067352950573,0.12135218665412537,3.8480041734296777,0.0075,,
Linear,3,1,3,-1,101,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[-0.550951361656189, 0.6109917163848877, 0.3617924749851227]","[-0.05787895619869232, -0.9383890628814697, 0.7895963788032532]",0.07532721722238415,0.19202584254397007,0.22598165166715248,0.03384901831547419,0.033930569887161255,0.16296034551543784,5.829574429824682,0.0,,
Linear,3,1,3,-1,102,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[-0.5149568915367126, -0.7814074754714966, -0.3089001476764679]","[0.5584290027618408, 0.0793050229549408, 0.8485109210014343]",0.07137329791554854,0.17720885776846776,0.21411989374664564,0.06284822901871837,0.02166687697172165,0.16620282618389315,6.1303016822669365,0.0125,,
Linear,3,1,3,-1,103,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[-0.12263999134302139, -0.037186793982982635, 0.47996628284454346]","[-0.12207181006669998, 0.919745683670044, -0.3810819089412689]",0.06144051589125942,0.154671800067583,0.18432154767377826,0.08202877909772927,0.04835781455039978,0.16075237581223026,5.7658440624904586,0.015,,
Linear,3,1,3,-1,104,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[0.6484106183052063, -0.8674346804618835, 0.07659447193145752]","[0.5117452144622803, 0.6506502032279968, -0.5617742538452148]",0.10101502412366538,0.2147986640780704,0.30304507237099615,0.08842272834024495,0.05121214687824249,0.16722256628020743,6.603474739726209,0.015,,
Linear,3,1,3,-1,105,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[-0.42927682399749756, 0.11211804300546646, 0.4673515558242798]","[-0.602249801158905, -0.4704720079898834, -0.3490790128707886]",0.03785510729968932,0.0906415370468014,0.11356532189906796,0.056764271708182344,0.10618877410888672,0.1037763524568289,3.217664905331105,0.005,,
Linear,3,1,3,-1,106,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[-0.8895044922828674, 0.2718296945095062, -0.8628385663032532]","[0.9502007961273193, -0.6974973678588867, -0.4096177816390991]",0.03967496731584847,0.12073448929125218,0.1190249019475454,0.026155929931979856,0.02303625550121069,0.0907442706713727,2.8557972905319597,0.0,,
Linear,3,1,3,-1,107,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[0.6331554651260376, -0.5412940382957458, -0.558035135269165]","[-0.916957676410675, -0.7854737043380737, 0.4266817569732666]",0.09524941902548843,0.2122077032526795,0.2857482570764653,0.10353938205006682,0.0975603461265564,0.15731379597858894,4.601981126796883,0.01,,
Linear,3,1,3,-1,108,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[0.2364661693572998, 0.06543176621198654, 0.1095544770359993]","[-0.17992550134658813, -0.7554280757904053, 0.9981473684310913]",0.10101068158520204,0.19729878752476654,0.30303204475560613,0.11421245124972897,0.1558361053466797,0.19403283043469574,6.257478421909572,0.0125,,
Linear,3,1,3,-1,109,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[0.9988187551498413, 0.9677178263664246, 0.040775928646326065]","[0.3314192593097687, -0.585135817527771, 0.520487904548645]",0.08614145947971745,0.24259387477782923,0.25842437843915234,0.05145023365930459,0.024491969496011734,0.16197177288389564,5.5766617815646065,0.0,,
Linear,3,1,3,-1,110,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[-0.10864169895648956, 0.04931486025452614, -0.4704791009426117]","[-0.871351957321167, 0.2730865180492401, -0.019966647028923035]",0.027801243946380474,0.06603733309532195,0.08340373183914142,0.06705813597956742,0.04725740849971771,0.08225436567182552,1.0710608596652758,0.0,,
Linear,3,1,3,-1,111,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[-0.6049723625183105, -0.32344892621040344, 0.43083447217941284]","[-0.8419704437255859, -0.16797947883605957, -0.20451059937477112]",0.030226105148265337,0.05010204552413281,0.09067831544479601,0.04338129969704666,0.006181837059557438,0.08127867711935555,2.533820132593388,0.005,,
Linear,3,1,3,-1,112,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[0.4448135197162628, -0.9011456966400146, 0.6439449191093445]","[0.9329946637153625, 0.5882050395011902, 0.9689865112304688]",0.06259858151081042,0.18045044204281813,0.18779574453243125,0.03148021469364104,0.001628730446100235,0.11797263010165787,1.8830531516927023,0.0,,
Linear,3,1,3,-1,113,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[0.41863173246383667, -0.023482682183384895, 0.2279641479253769]","[-0.4255177676677704, -0.7030157446861267, -0.44172894954681396]",0.06214106366106449,0.13918782386408507,0.1864231909831935,0.061406023898104456,0.034846290946006775,0.1348817826357863,3.01303410123497,0.005,,
Linear,3,1,3,-1,114,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[-0.7814548015594482, -0.6798140406608582, -0.9797838926315308]","[0.11529668420553207, -0.6668115258216858, -0.3657369315624237]",0.021509465369173725,0.06421790187260241,0.06452839610752117,0.007296712109014208,0.012289091944694519,0.07791209064814218,2.141379328272129,0.0025,,
Linear,3,1,3,-1,115,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[-0.13505227863788605, -0.6992138028144836, -0.6386840343475342]","[-0.08365152776241302, -0.7399067878723145, -0.1394127458333969]",0.025389924441430956,0.038186021234732366,0.07616977332429287,0.06657046171618097,0.10821095108985901,0.06239031703952245,1.514998599035841,0.0,,
Linear,3,1,3,-1,116,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[0.0036390621680766344, -0.36614876985549927, -0.6434957981109619]","[0.9050279259681702, 0.8802486658096313, -0.9539850950241089]",0.10331158632728413,0.2455139685875517,0.3099347589818524,0.15663675171679553,0.1434021284803748,0.15282454790357045,3.1447388605893174,0.0,,
Linear,3,1,3,-1,117,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[0.11515316367149353, 0.7238221168518066, -0.36945784091949463]","[-0.9954982399940491, 0.7611866593360901, 0.800013542175293]",0.03908653243046938,0.16895210274562023,0.11725959729140815,0.012630032056390687,0.004608269780874252,0.09630408332662244,4.648488471628835,0.0125,,
Linear,3,1,3,-1,118,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[0.7532855868339539, -0.8538441061973572, 0.6052027344703674]","[0.3583809733390808, -0.14669764041900635, -0.04589289054274559]",0.045129872473376374,0.0909099044272656,0.13538961742012912,0.04750354394868568,0.018663998693227768,0.08812586733713709,3.417832436405683,0.005,,
Linear,3,1,3,-1,119,mismatch,1.0,0.0,-1,1,4.0,0,deterministic,"[0.9546050429344177, -0.7296091914176941, 0.7618905305862427]","[-0.6044704914093018, 0.3422892987728119, 0.2229812741279602]",0.03923027793600449,0.10960645470417765,0.11769083380801348,0.040330817761980456,0.0037385746836662292,0.11806927719838602,3.8587416642136443,0.005,,
Linear,3,1,3,-1,100,mismatch,1.5,0.0,-1,1,4.0,0,deterministic,"[-0.6200170516967773, 0.9629579782485962, -0.4305199086666107]","[0.2585463523864746, 0.16207295656204224, 0.19982454180717468]",0.07224005008277391,0.11535345304385901,0.21672015024832172,0.12771256299643421,0.06617109477519989,0.144054776591776,3.908811251414841,0.0075,,
