method,controlled_nodes,num_control_inputs,node,controller_seed,test_seed,scenario,mismatch,noise_std,pulse_step,observation_dim,action_limit,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
PPO,1,1,1,1024,100,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[0.6699632406234741, 0.19310805201530457, -0.42227351665496826]","[-0.9140968322753906, 0.9473087787628174, 0.19294340908527374]",1.318045140379546,1.5467747132177085,3.9541354211386377,4.943451503728643,7.620007753372192,3.274809081544008,249.51301004392883,0.735
PPO,1,1,1,1024,101,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[0.8870649933815002, -0.2811579406261444, 0.5696108341217041]","[0.1825563758611679, -0.41134288907051086, 0.8454513549804688]",1.1542404175659366,1.4196361520442917,3.4627212526978104,3.3223459520089773,3.727001577615738,3.3052319265028784,255.1814349258806,0.705
PPO,1,1,1,1024,102,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[-0.6800177097320557, 0.17188702523708344, 0.6476735472679138]","[-0.4054795205593109, 0.36979904770851135, -0.07223168015480042]",1.5677241597662146,1.7640079822766321,4.703172479298644,4.888817661338383,7.067096948623657,3.7443609283563504,296.53543218297705,0.915
PPO,1,1,1,1024,103,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[-0.3746335208415985, -0.5513635277748108, -0.6359805464744568]","[0.7203572988510132, 0.715084969997406, -0.7928751111030579]",1.3855654741153554,1.6120625316147268,4.156696422346067,4.434125390685635,5.609411120414734,3.8159494103487592,300.35893010625335,0.8825
PPO,1,1,1,1024,104,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[0.6771296262741089, 0.3842962980270386, -0.5678223371505737]","[-0.7491762042045593, -0.24986141920089722, 0.5077770352363586]",1.5076904718269433,1.8213419570705827,4.52307141548083,3.44524318476518,3.3409497141838074,3.6375548246681246,281.1573049580229,0.8
PPO,1,1,1,1024,105,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[0.2763906717300415, 0.9829195737838745, -0.8065410852432251]","[0.013408683240413666, -0.2071221023797989, -0.5879675149917603]",1.1445108449592851,1.3881081381638176,3.4335325348778554,4.275385250279933,3.6954525411129,3.4595451129605053,262.7446020137977,0.7425
PPO,1,1,1,1024,106,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[0.9648157358169556, -0.9191997051239014, -0.7544265985488892]","[-0.07146907597780228, 0.9288845658302307, -0.7224013805389404]",1.4970389397958865,1.7368435300241967,4.49111681938766,3.490105673302839,3.249594286084175,3.72212678240496,293.6169829764846,0.905
PPO,1,1,1,1024,107,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[0.2970718443393707, -0.044622860848903656, 0.005474763922393322]","[0.46956777572631836, -0.017653441056609154, -0.8469340801239014]",1.6108334292351878,1.7526243874930016,4.832500287705563,4.002084964955294,5.49888551235199,3.9900249376558605,320.0,1.0
PPO,1,1,1,1024,108,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[0.7119876146316528, 0.2645502984523773, -0.7641888856887817]","[-0.2987346351146698, -0.5197822451591492, -0.8483289480209351]",1.1270291418431704,1.3648241649643795,3.3810874255295107,3.391215262773596,3.213369682431221,3.5367277404316644,273.5074442951457,0.785
PPO,1,1,1,1024,109,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[0.08748450130224228, 0.6828176975250244, 0.5001521706581116]","[-0.33672913908958435, 0.19850623607635498, -0.6109974980354309]",1.268020602303897,1.4741497788534517,3.8040618069116907,4.831021209741816,3.5125502049922943,3.478261313236265,263.0850655801447,0.76
PPO,1,1,1,1024,110,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[0.8609856367111206, 0.024875562638044357, 0.4250466525554657]","[0.004447660408914089, -0.5202997922897339, 0.7527093887329102]",1.4519902679663546,1.6599855676245776,4.355970803899063,4.9956755167172275,3.4241971373558044,3.7008462401473907,284.46551851079715,0.795
PPO,1,1,1,1024,111,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[-0.6926772594451904, -0.661393404006958, 0.011928629130125046]","[0.31623774766921997, 0.5351617336273193, -0.781545102596283]",1.533110937492261,1.8522320847198,4.599332812476782,3.7086131137646277,3.3523253053426743,3.6778147827806023,284.74519459931855,0.82
PPO,1,1,1,1024,112,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[-0.7670819759368896, 0.6883071660995483, 0.597346842288971]","[-0.9652067422866821, -0.8461065888404846, -0.007087308447808027]",1.7159426025519842,1.8547273730601865,5.147827807655953,5.1054747623425945,6.945312261581421,3.949092886691676,315.61120262567766,0.98
PPO,1,1,1,1024,113,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[-0.8588438034057617, -0.698262095451355, -0.7104744911193848]","[0.2209867388010025, -0.08093313872814178, 0.9977114200592041]",1.474140611434617,1.6947505691831424,4.422421834303851,6.507791414672946,7.930862784385681,3.401707764687086,261.29534586444026,0.7825
PPO,1,1,1,1024,114,nominal,0.0,0.0,-1,6,4.0,0,e5d1c88398c204a7c4f5771b2ce5c9b0708f4174a55c096963ba9838a0bdff1b,"[0.45577654242515564, -0.715681791305542, -0.13323155045509338]","[0.4082243740558624, 0.21660929918289185, 0.29059258103370667]",1.312301745413743,1.5839735771058396,3.9369052362412287,3.692827703224288,4.039434790611267,3.627268497151627,281.5733963206758,0.835
