method,controlled_nodes,num_control_inputs,node,controller_seed,test_seed,scenario,mismatch,noise_std,pulse_step,observation_dim,action_limit,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction
PPO,2-3,2,-1,42,100,nominal,0.0,0.0,-1,6,4.0,0,511e32052093772ff032a7c940df212c7610de68c854fefcb705dc05d6970869,"[0.6699632406234741, 0.19310805201530457, -0.42227351665496826]","[-0.9140968322753906, 0.9473087787628174, 0.19294340908527374]",0.02091342939163774,0.11288980197728743,0.06274028817491323,0.009161300071871575,0.005900859832763672,0.12371716705125355,5.9748205519979525,0.00625
PPO,2-3,2,-1,42,101,nominal,0.0,0.0,-1,6,4.0,0,511e32052093772ff032a7c940df212c7610de68c854fefcb705dc05d6970869,"[0.8870649933815002, -0.2811579406261444, 0.5696108341217041]","[0.1825563758611679, -0.41134288907051086, 0.8454513549804688]",0.010538774227763349,0.04498050671789742,0.031616322683290045,0.009487597409773755,0.011560272891074419,0.07708793954152679,3.315585629198786,0.00375
PPO,2-3,2,-1,42,102,nominal,0.0,0.0,-1,6,4.0,0,511e32052093772ff032a7c940df212c7610de68c854fefcb705dc05d6970869,"[-0.6800177097320557, 0.17188702523708344, 0.6476735472679138]","[-0.4054795205593109, 0.36979904770851135, -0.07223168015480042]",0.011225813315844152,0.05327612341298268,0.03367743994753246,0.006765464781409843,0.006927549839019775,0.09466162165673334,5.101194956691902,0.0075
PPO,2-3,2,-1,42,103,nominal,0.0,0.0,-1,6,4.0,0,511e32052093772ff032a7c940df212c7610de68c854fefcb705dc05d6970869,"[-0.3746335208415985, -0.5513635277748108, -0.6359805464744568]","[0.7203572988510132, 0.715084969997406, -0.7928751111030579]",0.01615448640680741,0.09422119954891957,0.04846345922042223,0.007930959166705977,0.005539208650588989,0.15503551543079447,9.084099769690493,0.0125
PPO,2-3,2,-1,42,104,nominal,0.0,0.0,-1,6,4.0,0,511e32052093772ff032a7c940df212c7610de68c854fefcb705dc05d6970869,"[0.6771296262741089, 0.3842962980270386, -0.5678223371505737]","[-0.7491762042045593, -0.24986141920089722, 0.5077770352363586]",0.03879340574108931,0.1737354438076941,0.11638021722326794,0.012618453799528473,0.014307238161563873,0.18531783444672228,10.62015062962489,0.015
PPO,2-3,2,-1,42,105,nominal,0.0,0.0,-1,6,4.0,0,511e32052093772ff032a7c940df212c7610de68c854fefcb705dc05d6970869,"[0.2763906717300415, 0.9829195737838745, -0.8065410852432251]","[0.013408683240413666, -0.2071221023797989, -0.5879675149917603]",0.013281102662291362,0.0605202006277314,0.039843307986874084,0.011416721128985102,0.008030744269490242,0.11335658658286579,6.580649143969662,0.00875
PPO,2-3,2,-1,42,106,nominal,0.0,0.0,-1,6,4.0,0,511e32052093772ff032a7c940df212c7610de68c854fefcb705dc05d6970869,"[0.9648157358169556, -0.9191997051239014, -0.7544265985488892]","[-0.07146907597780228, 0.9288845658302307, -0.7224013805389404]",0.014355508764858914,0.09946168807785076,0.043066526294576746,0.009016794026081945,0.010193119291216135,0.13388028439538474,8.613346145502312,0.0125
PPO,2-3,2,-1,42,107,nominal,0.0,0.0,-1,6,4.0,0,511e32052093772ff032a7c940df212c7610de68c854fefcb705dc05d6970869,"[0.2970718443393707, -0.044622860848903656, 0.005474763922393322]","[0.46956777572631836, -0.017653441056609154, -0.8469340801239014]",0.012627797878671713,0.060419879300360975,0.03788339363601514,0.013352887837193262,0.019573092460632324,0.11459864172596772,5.788800236498418,0.0075
PPO,2-3,2,-1,42,108,nominal,0.0,0.0,-1,6,4.0,0,511e32052093772ff032a7c940df212c7610de68c854fefcb705dc05d6970869,"[0.7119876146316528, 0.2645502984523773, -0.7641888856887817]","[-0.2987346351146698, -0.5197822451591492, -0.8483289480209351]",0.01806452803461598,0.07799707313656822,0.05419358410384794,0.012636019250401009,0.015101693570613861,0.11151725290159688,5.687302832624062,0.0075
PPO,2-3,2,-1,42,109,nominal,0.0,0.0,-1,6,4.0,0,511e32052093772ff032a7c940df212c7610de68c854fefcb705dc05d6970869,"[0.08748450130224228, 0.6828176975250244, 0.5001521706581116]","[-0.33672913908958435, 0.19850623607635498, -0.6109974980354309]",0.017861873263699108,0.08879389181103826,0.05358561979109733,0.009603616425100669,0.013587839901447296,0.17765389005432922,10.60005033604628,0.01375
PPO,2-3,2,-1,42,110,nominal,0.0,0.0,-1,6,4.0,0,511e32052093772ff032a7c940df212c7610de68c854fefcb705dc05d6970869,"[0.8609856367111206, 0.024875562638044357, 0.4250466525554657]","[0.004447660408914089, -0.5202997922897339, 0.7527093887329102]",0.01128522771006529,0.05868473770776882,0.03385568313019587,0.01613240908647393,0.004050686955451965,0.11299541695775032,6.048082026728875,0.0075
