method,controlled_nodes,num_control_inputs,node,controller_seed,test_seed,scenario,mismatch,noise_std,pulse_step,observation_dim,action_limit,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error
SAC,2,1,2,42,100,nominal,0.0,0.0,-1,6,4.0,0,0a55af0cfeb7047d093c2a093234075b59c40ebc3b8bc1957267fcd6061e9c04,"[0.6699632406234741, 0.19310805201530457, -0.42227351665496826]","[-0.9140968322753906, 0.9473087787628174, 0.19294340908527374]",0.07892798437641706,0.18246295699009815,0.23678395312925118,0.11994870392214736,0.08742988109588623,0.1744490662715084,1.9483573337715967,0.0,,
SAC,2,1,2,42,101,nominal,0.0,0.0,-1,6,4.0,0,0a55af0cfeb7047d093c2a093234075b59c40ebc3b8bc1957267fcd6061e9c04,"[0.8870649933815002, -0.2811579406261444, 0.5696108341217041]","[0.1825563758611679, -0.41134288907051086, 0.8454513549804688]",0.05079345864260063,0.08074798164221492,0.15238037592780188,0.09909698160158263,0.03213728033006191,0.21796686690941713,3.9651758815337987,0.0,,
SAC,2,1,2,42,102,nominal,0.0,0.0,-1,6,4.0,0,0a55af0cfeb7047d093c2a093234075b59c40ebc3b8bc1957267fcd6061e9c04,"[-0.6800177097320557, 0.17188702523708344, 0.6476735472679138]","[-0.4054795205593109, 0.36979904770851135, -0.07223168015480042]",0.08943898359070519,0.22499568017490132,0.2683169507721156,0.10180668499504711,0.079456627368927,0.25029651898695643,7.915837147410878,0.0,,
SAC,2,1,2,42,103,nominal,0.0,0.0,-1,6,4.0,0,0a55af0cfeb7047d093c2a093234075b59c40ebc3b8bc1957267fcd6061e9c04,"[-0.3746335208415985, -0.5513635277748108, -0.6359805464744568]","[0.7203572988510132, 0.715084969997406, -0.7928751111030579]",0.09810146033928009,0.21348548526556152,0.2943043810178403,0.1449677849786333,0.14622735977172852,0.23932373315616143,9.072852311524256,0.0,,
SAC,2,1,2,42,104,nominal,0.0,0.0,-1,6,4.0,0,0a55af0cfeb7047d093c2a093234075b59c40ebc3b8bc1957267fcd6061e9c04,"[0.6771296262741089, 0.3842962980270386, -0.5678223371505737]","[-0.7491762042045593, -0.24986141920089722, 0.5077770352363586]",0.17987389692607786,0.49843342606242447,0.5396216907782336,0.13097630466483992,0.31024929136037827,0.3255570220233794,11.227390279503167,0.0025,,
SAC,2,1,2,42,105,nominal,0.0,0.0,-1,6,4.0,0,0a55af0cfeb7047d093c2a093234075b59c40ebc3b8bc1957267fcd6061e9c04,"[0.2763906717300415, 0.9829195737838745, -0.8065410852432251]","[0.013408683240413666, -0.2071221023797989, -0.5879675149917603]",0.06423090637529134,0.11403690010087687,0.19269271912587402,0.137035698250488,0.0856596902012825,0.32219630881140654,10.259603246543572,0.0,,
SAC,2,1,2,42,106,nominal,0.0,0.0,-1,6,4.0,0,0a55af0cfeb7047d093c2a093234075b59c40ebc3b8bc1957267fcd6061e9c04,"[0.9648157358169556, -0.9191997051239014, -0.7544265985488892]","[-0.07146907597780228, 0.9288845658302307, -0.7224013805389404]",0.16200990502100132,0.40688098863224725,0.48602971506300396,0.08128550237642578,0.016588253900408745,0.3100755101724753,12.188740333502103,0.0025,,
SAC,2,1,2,42,107,nominal,0.0,0.0,-1,6,4.0,0,0a55af0cfeb7047d093c2a093234075b59c40ebc3b8bc1957267fcd6061e9c04,"[0.2970718443393707, -0.044622860848903656, 0.005474763922393322]","[0.46956777572631836, -0.017653441056609154, -0.8469340801239014]",0.12878672473042807,0.3348743355673556,0.3863601741912842,0.14625082923858254,0.2608998119831085,0.21726341735097832,6.150593731789988,0.0,,
SAC,2,1,2,42,108,nominal,0.0,0.0,-1,6,4.0,0,0a55af0cfeb7047d093c2a093234075b59c40ebc3b8bc1957267fcd6061e9c04,"[0.7119876146316528, 0.2645502984523773, -0.7641888856887817]","[-0.2987346351146698, -0.5197822451591492, -0.8483289480209351]",0.06305058364363902,0.10991472354013927,0.18915175093091707,0.13433252759047865,0.30079285800457,0.23107164042846223,4.968316987127273,0.0,,
SAC,2,1,2,42,109,nominal,0.0,0.0,-1,6,4.0,0,0a55af0cfeb7047d093c2a093234075b59c40ebc3b8bc1957267fcd6061e9c04,"[0.08748450130224228, 0.6828176975250244, 0.5001521706581116]","[-0.33672913908958435, 0.19850623607635498, -0.6109974980354309]",0.12769392547015712,0.33995790017602706,0.3830817764104713,0.06839563074395244,0.2650957629084587,0.21384625304072277,6.01557564308431,0.0,,
