method,controlled_nodes,num_control_inputs,node,controller_seed,test_seed,scenario,mismatch,noise_std,pulse_step,observation_dim,action_limit,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error
SMC,3,1,3,-1,100,nominal,0.0,0.0,-1,6,4.0,0,deterministic,"[0.6699632406234741, 0.19310805201530457, -0.42227351665496826]","[-0.9140968322753906, 0.9473087787628174, 0.19294340908527374]",0.04380632101202806,0.14993154000149925,0.1314189630360842,1.413968426209909e-05,7.748603820800781e-07,0.04939553428077732,1.3999558457941785,0.0025,,
SMC,3,1,3,-1,101,nominal,0.0,0.0,-1,6,4.0,0,deterministic,"[0.8870649933815002, -0.2811579406261444, 0.5696108341217041]","[0.1825563758611679, -0.41134288907051086, 0.8454513549804688]",0.02774897644185776,0.06884312845323659,0.08324692932557329,2.022466426830233e-05,2.2100284695625305e-06,0.041133634697251585,1.6865147801648128,0.005,,
SMC,3,1,3,-1,102,nominal,0.0,0.0,-1,6,4.0,0,deterministic,"[-0.6800177097320557, 0.17188702523708344, 0.6476735472679138]","[-0.4054795205593109, 0.36979904770851135, -0.07223168015480042]",0.022425934307916666,0.06733135163395886,0.06727780292374999,5.295572020573381e-06,8.344650268554688e-07,0.06792269293561196,4.208280235320006,0.0125,,
SMC,3,1,3,-1,103,nominal,0.0,0.0,-1,6,4.0,0,deterministic,"[-0.3746335208415985, -0.5513635277748108, -0.6359805464744568]","[0.7203572988510132, 0.715084969997406, -0.7928751111030579]",0.14913807836632575,0.3416311448672355,0.44741423509897726,1.685638670568113e-05,1.2814998626708984e-06,0.16613375362110333,6.111591608147312,0.015,,
SMC,3,1,3,-1,104,nominal,0.0,0.0,-1,6,4.0,0,deterministic,"[0.6771296262741089, 0.3842962980270386, -0.5678223371505737]","[-0.7491762042045593, -0.24986141920089722, 0.5077770352363586]",0.07195963863831506,0.22585779480359613,0.21587891591494518,6.017075955039925e-05,1.691281795501709e-06,0.12735955313083586,8.142624173452742,0.0225,,
SMC,3,1,3,-1,105,nominal,0.0,0.0,-1,6,4.0,0,deterministic,"[0.2763906717300415, 0.9829195737838745, -0.8065410852432251]","[0.013408683240413666, -0.2071221023797989, -0.5879675149917603]",0.05471300515106237,0.1498247431407522,0.16413901545318713,6.140614457336473e-05,1.998618245124817e-06,0.1151089919306706,6.294073927065271,0.0175,,
SMC,3,1,3,-1,106,nominal,0.0,0.0,-1,6,4.0,0,deterministic,"[0.9648157358169556, -0.9191997051239014, -0.7544265985488892]","[-0.07146907597780228, 0.9288845658302307, -0.7224013805389404]",0.13136049621811652,0.3118570706630006,0.39408148865434955,2.4020552554708203e-05,1.1101365089416504e-06,0.1666929955006132,7.370464616551414,0.0175,,
SMC,3,1,3,-1,107,nominal,0.0,0.0,-1,6,4.0,0,deterministic,"[0.2970718443393707, -0.044622860848903656, 0.005474763922393322]","[0.46956777572631836, -0.017653441056609154, -0.8469340801239014]",0.01847239185189666,0.07083466367656602,0.05541717555568997,4.308602922124627e-06,6.854534149169922e-07,0.06373874593245528,4.051079617026889,0.0125,,
SMC,3,1,3,-1,108,nominal,0.0,0.0,-1,6,4.0,0,deterministic,"[0.7119876146316528, 0.2645502984523773, -0.7641888856887817]","[-0.2987346351146698, -0.5197822451591492, -0.8483289480209351]",0.057709190160530006,0.14622916631176333,0.17312757048159003,5.6190651921946327e-05,2.7418136596679688e-06,0.06915786434672101,2.5105713978143087,0.005,,
SMC,3,1,3,-1,109,nominal,0.0,0.0,-1,6,4.0,0,deterministic,"[0.08748450130224228, 0.6828176975250244, 0.5001521706581116]","[-0.33672913908958435, 0.19850623607635498, -0.6109974980354309]",0.05827161406088661,0.15036671390214135,0.17481484218265983,2.174050098767987e-05,1.1329539120197296e-06,0.10732711885270536,5.058043379813498,0.0125,,
