method,controlled_nodes,scenario,mismatch,noise_std,controller_seed,mae,rmse,steady_l1,final_l1,energy_u,saturation_fraction,mean_post_pulse_error
LQR,2,mismatch,0.5,0.0,-1,0.1296921369402223,0.3326418488633246,0.10909251163334202,0.06682240479858588,5.281898055686231,0.009375,
LQR,2,mismatch,1.0,0.0,-1,0.16336520572815394,0.3519050442150151,0.21686601818059165,0.1351935089100152,5.345948737141466,0.009375,
LQR,2,mismatch,1.5,0.0,-1,0.19782267864509998,0.3792861366760706,0.3253007332391945,0.20491506739053872,5.444662008295616,0.009375,
LQR,2,mismatch,2.0,0.0,-1,0.23298215126299976,0.4128265676065572,0.43574011738550056,0.2776608735555782,5.576733804264058,0.009375,
LQR,2,noise,0.0,0.01,-1,0.1438111982174784,0.32210311306552314,0.1708184545179886,0.18460614932700986,4.157952171985142,0.0063750000000000005,
LQR,2,noise,0.0,0.02,-1,0.19932574311604973,0.3645498172833705,0.3438675841750623,0.36776269334368406,5.152617474821677,0.0063750000000000005,
LQR,2,noise,0.0,0.05,-1,0.37422106944735634,0.5488242830311979,0.8978920118684914,0.9615972869098186,11.671006111252641,0.0072499999999999995,
LQR,2,nominal,0.0,0.0,-1,0.09069465470204845,0.30036757203149367,2.023535435674367e-07,5.043111741542816e-08,3.775851110769346,0.006500000000000001,
LQR,2,pulse,0.0,0.0,-1,0.5128087248211269,1.1046032711633855,0.1044551154121434,0.00577290952205654,9.945537334120813,0.01675,2.5263997824837117
LQR,3,mismatch,0.5,0.0,-1,0.057436759929869005,0.14644324663660452,0.04249063862277835,0.04173022640170525,3.38517490983514,0.003125,
LQR,3,mismatch,1.0,0.0,-1,0.07106357158607034,0.15323179906140835,0.0842133656075155,0.08268857195507731,3.416549262681903,0.003125,
LQR,3,mismatch,1.5,0.0,-1,0.08493770055620133,0.1627377457714897,0.12539184722161195,0.12298428136855359,3.474554572712237,0.003125,
LQR,3,mismatch,2.0,0.0,-1,0.09890870556683552,0.17422968367045089,0.16621115719554597,0.16271671976428476,3.559241243307055,0.003125,
LQR,3,noise,0.0,0.01,-1,0.07413873788836559,0.17224297500503338,0.08779670689413091,0.08708188063465054,2.869008505880189,0.002125,
LQR,3,noise,0.0,0.02,-1,0.10018569000844521,0.1865254340828896,0.1756215224498135,0.17394495196640486,3.431438289534617,0.00225,
LQR,3,noise,0.0,0.05,-1,0.18256901846278312,0.25962655567406445,0.4418571018941562,0.4326558425091207,7.110247378230215,0.0021249999999999997,
LQR,3,nominal,0.0,0.0,-1,0.050989270932401534,0.1664648847860936,2.2354033268286112e-05,4.323991015553475e-06,2.6487456588423925,0.002125,
LQR,3,pulse,0.0,0.0,-1,0.333028214025964,0.816850190626673,0.061542204212696225,0.00470975339412684,7.494004499735333,0.012375,1.688340158566638
Linear,2,mismatch,0.5,0.0,-1,2.7557159115575836,3.6886232214504355,7.822019418986676,8.294050545990467,54.90176535531775,0.00475,
Linear,2,mismatch,1.0,0.0,-1,2.753974130962908,3.684964674994268,7.807505658508083,8.277281383424997,54.502790223428676,0.00475,
Linear,2,mismatch,1.5,0.0,-1,2.751335107508028,3.6809240560014764,7.791950493349613,8.259329695254564,54.110445908019855,0.00475,
Linear,2,mismatch,2.0,0.0,-1,2.7480657278666163,3.6766058375110924,7.775266962601907,8.240056247264146,53.72692006871962,0.00475,
Linear,2,noise,0.0,0.01,-1,2.6012050244147433,3.5319514669611882,8.666572720969073,8.855294547230006,51.81828333161049,0.00575,
Linear,2,noise,0.0,0.02,-1,2.587912546171391,3.5096251871135244,8.66644054674486,8.871998233348132,51.97473740879629,0.005625,
Linear,2,noise,0.0,0.05,-1,2.6584431013344387,3.5924521696410414,8.72802599032329,8.894187074154615,56.987502429637665,0.005875,
Linear,2,nominal,0.0,0.0,-1,2.5672575176095456,3.485088235431982,8.721595420237676,8.863783586770296,51.030525979543214,0.00575,
Linear,2,pulse,0.0,0.0,-1,2.563851580637331,3.6441358443825953,5.472976146859152,11.82681605219841,74.0229399351469,0.08399999999999999,8.618820125182896
Linear,3,mismatch,0.5,0.0,-1,0.050015966537975944,0.13873324476193952,0.030948897220487485,0.024687170796096274,3.8739210144945724,0.005625,
Linear,3,mismatch,1.0,0.0,-1,0.05900555840332067,0.1425916240574387,0.061953780764460877,0.04937044070102271,3.8956965109601938,0.005625,
Linear,3,mismatch,1.5,0.0,-1,0.06857886708367954,0.148593892754536,0.09303827305902138,0.07404362487141038,3.9396495694560016,0.005625,
Linear,3,mismatch,2.0,0.0,-1,0.07850941176469053,0.15630179967112715,0.12419755918988493,0.09869757927954192,4.005829229015549,0.005625,
Linear,3,noise,0.0,0.01,-1,0.06598606698260921,0.15890847235123312,0.08110019471467594,0.09697100305929776,3.9363889992860117,0.006,
Linear,3,noise,0.0,0.02,-1,0.08796164994998498,0.1713047509052947,0.16199948968118583,0.19375613220036028,4.871977126250225,0.006125,
Linear,3,noise,0.0,0.05,-1,0.15545781616880985,0.23139828667296986,0.4000248630559876,0.47872660160064695,11.094205510566283,0.0063750000000000005,
Linear,3,nominal,0.0,0.0,-1,0.04570297947639985,0.1535740732120609,5.22765379296913e-05,1.9166246056554847e-05,3.5763967042700884,0.005875,
Linear,3,pulse,0.0,0.0,-1,0.25473989000168384,0.7652044738413416,0.02390161813294258,0.004196730256080574,16.214748824449458,0.043,1.2518264890458455
