method,controlled_nodes,num_control_inputs,node,controller_seed,test_seed,scenario,mismatch,noise_std,pulse_step,observation_dim,action_limit,state_guard_hits,model_sha256,initial_x,initial_y,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error
Linear,2,1,2,-1,100,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.6699632406234741, 0.19310805201530457, -0.42227351665496826]","[-0.9140968322753906, 0.9473087787628174, 0.19294340908527374]",3.024576160675867,3.978777467859981,9.0737284820276,10.184045394445643,13.014389485120772,1.604816035439546,59.7331444380375,0.005,,
Linear,2,1,2,-1,101,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.8870649933815002, -0.2811579406261444, 0.5696108341217041]","[0.1825563758611679, -0.41134288907051086, 0.8454513549804688]",2.058640364089908,2.946332562314901,6.175921092269724,8.441848872620383,7.77056972682476,1.208721336283886,38.500930763685886,0.0,,
Linear,2,1,2,-1,102,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[-0.6800177097320557, 0.17188702523708344, 0.6476735472679138]","[-0.4054795205593109, 0.36979904770851135, -0.07223168015480042]",2.4034244597410277,3.1675848026506914,7.210273379223082,6.7318031151353575,4.307377576828003,1.3688218520020603,43.069500445752034,0.0,,
Linear,2,1,2,-1,103,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[-0.3746335208415985, -0.5513635277748108, -0.6359805464744568]","[0.7203572988510132, 0.715084969997406, -0.7928751111030579]",2.409727697856012,3.2294014053516453,7.229183093568036,7.081603825460245,6.2139312624931335,1.4246170609966478,47.4867429789928,0.01,,
Linear,2,1,2,-1,104,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.6771296262741089, 0.3842962980270386, -0.5678223371505737]","[-0.7491762042045593, -0.24986141920089722, 0.5077770352363586]",3.1862966653024616,4.201990236366748,9.558889995907384,7.852252889562536,8.159488677978516,1.6616788609812685,65.41815111866852,0.0025,,
Linear,2,1,2,-1,105,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.2763906717300415, 0.9829195737838745, -0.8065410852432251]","[0.013408683240413666, -0.2071221023797989, -0.5879675149917603]",2.175628248547186,3.2836685879258325,6.526884745641558,9.16513588812984,8.129596203565598,1.2135938968778843,43.64892444445912,0.0075,,
Linear,2,1,2,-1,106,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.9648157358169556, -0.9191997051239014, -0.7544265985488892]","[-0.07146907597780228, 0.9288845658302307, -0.7224013805389404]",2.510906740713397,3.360471563993312,7.532720222140191,8.297488565062299,8.552397713065147,1.4904421110105637,52.2576284236394,0.0125,,
Linear,2,1,2,-1,107,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.2970718443393707, -0.044622860848903656, 0.005474763922393322]","[0.46956777572631836, -0.017653441056609154, -0.8469340801239014]",3.221120757449508,4.155071569352473,9.663362272348524,8.89669989619726,10.70231093466282,1.6574401940565158,58.46868488745447,0.0,,
Linear,2,1,2,-1,108,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.7119876146316528, 0.2645502984523773, -0.7641888856887817]","[-0.2987346351146698, -0.5197822451591492, -0.8483289480209351]",1.568472823693246,2.4059008155462926,4.705418471079738,8.86268252796597,8.57878851890564,0.9720103074041684,29.48070384447656,0.005,,
Linear,2,1,2,-1,109,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.08748450130224228, 0.6828176975250244, 0.5001521706581116]","[-0.33672913908958435, 0.19850623607635498, -0.6109974980354309]",2.751229035357634,3.709273089190444,8.253687106072903,10.324920701483885,8.097298428416252,1.4847271351742923,52.83126700147713,0.0,,
Linear,2,1,2,-1,110,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.8609856367111206, 0.024875562638044357, 0.4250466525554657]","[0.004447660408914089, -0.5202997922897339, 0.7527093887329102]",2.4744573435556463,3.4430361118119346,7.423372030666939,4.715916304492656,7.342530101537704,1.396200358124445,47.520129362088745,0.0025,,
Linear,2,1,2,-1,111,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[-0.6926772594451904, -0.661393404006958, 0.011928629130125046]","[0.31623774766921997, 0.5351617336273193, -0.781545102596283]",3.2176834587828376,4.260614506910233,9.653050376348514,8.444396057430609,8.21026062965393,1.693680078757374,68.72531117122517,0.0075,,
Linear,2,1,2,-1,112,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[-0.7670819759368896, 0.6883071660995483, 0.597346842288971]","[-0.9652067422866821, -0.8461065888404846, -0.007087308447808027]",1.8438183553423968,2.4284927012730755,5.531455066027189,6.052350237321707,4.826967179775238,1.2381007935935422,37.19901353783487,0.015,,
Linear,2,1,2,-1,113,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[-0.8588438034057617, -0.698262095451355, -0.7104744911193848]","[0.2209867388010025, -0.08093313872814178, 0.9977114200592041]",3.067236332939698,4.057325519012769,9.201708998819091,11.882729050553875,14.078050434589386,1.6628825330080237,65.90631237293938,0.0125,,
Linear,2,1,2,-1,114,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.45577654242515564, -0.715681791305542, -0.13323155045509338]","[0.4082243740558624, 0.21660929918289185, 0.29059258103370667]",2.026320650043308,2.917686219157967,6.078961950129925,8.206096147865425,7.693063542246818,1.2325981111449196,41.04460956721761,0.0075,,
Linear,2,1,2,-1,115,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.40467604994773865, 0.20741814374923706, 0.08833812177181244]","[0.6422944664955139, -0.9984564185142517, -0.7643713355064392]",2.870674933423772,3.8858268251771744,8.612024800271316,11.421672407859637,11.591358378529549,1.58539991619581,59.114825495033045,0.0125,,
Linear,2,1,2,-1,116,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[-0.655260443687439, 0.7538442015647888, 0.9143562912940979]","[0.9017144441604614, 0.015369722619652748, 0.1966596394777298]",2.492086544063125,3.3478697523943706,7.476259632189375,11.657161667575073,11.29299595952034,1.4089710977012082,46.28872454410201,0.005,,
Linear,2,1,2,-1,117,nominal,0.0,0.0,-1,1,4.0,0,deterministic,"[0.7500235438346863, -0.6842380166053772, 0.20812228322029114]","[-0.2790674567222595, 0.026706794276833534, -0.3951078951358795]",3.1250642755967646,4.1302779295926175,9.375192826790292,7.8507007893036915,8.14210295677185,1.66367856377824,65.12161124973412,0.0025,,
