scenario,node,method,mismatch,num_runs,mae_mean,mae_std,steady_l1_mean,steady_l1_std,final_l1_mean,final_l1_std,energy_u_mean,energy_u_std,saturation_fraction_mean,saturation_fraction_std,mean_post_pulse_error_mean,mean_post_pulse_error_std
mismatch,2,LQR,0.0,2,0.029461549420036683,0.014749909105749144,2.374728842649931e-07,7.649279016488165e-08,1.4062970876693726e-07,3.0293047367205085e-08,0.31477166990739897,0.28450913935981564,0.0,0.0,,
mismatch,2,LQR,2.0,2,0.3341037852880069,0.23988506547812355,0.4699626930379941,0.13761875516655642,0.5745910368859768,0.7212551884720712,8.270944828051219,2.368094290089512,0.01625,0.005303300858899107,,
mismatch,2,PPO,0.0,6,0.038502436751943245,0.009994952825928981,0.03305538481392671,0.010706597071810845,0.017583550109217565,0.01217607165433659,3.877605637179905,1.4687718155718776,0.008333333333333333,0.0020412414523193153,,
mismatch,2,PPO,2.0,6,0.28143310707514596,0.19795215778282493,0.17569984947695347,0.08345302252033732,0.15923929711182913,0.14413354090677935,20.105562296425244,9.927196422251704,0.04583333333333333,0.024426761280748346,,
mismatch,2,SMC,0.0,2,0.032470882448069914,0.019516894084354895,8.014461922424811e-07,6.880936439612772e-07,8.242204785346985e-08,5.2025016130634824e-08,0.47026938622902886,0.4540438463507569,0.0,0.0,,
mismatch,2,SMC,2.0,2,0.34446266875466824,0.26521030337766704,0.4246207807489015,0.21804813480438195,0.6837410805746913,0.9000230813335579,5.980309834724791,3.2483956078895457,0.0025,0.0035355339059327377,,
mismatch,3,LQR,0.0,2,0.027801852578892203,0.008301250606002536,4.429206321084941e-06,2.3729513120081764e-06,1.0649673640727997e-06,6.631543195385982e-07,0.31022822111292314,0.09110352903556176,0.0,0.0,,
mismatch,3,LQR,2.0,2,0.1248753518996418,0.05478480154145433,0.23698716554330823,0.11261131381057597,0.29198676254600286,0.3102887246832628,5.212303608700766,2.1273347677460577,0.00375,0.005303300858899107,,
mismatch,3,PPO,0.0,6,0.021214034075802118,0.0007876580151565987,0.006878933743784518,0.004835014169506873,0.009863478442033132,0.009445206631962539,4.311158469903634,1.9850514266389359,0.011666666666666667,0.005845225972250061,,
mismatch,3,PPO,2.0,6,0.0752879169169735,0.00958605660043938,0.09880625962906368,0.0381064826037079,0.06827922941495974,0.009491707660628457,7.522423428438838,2.156299816218835,0.02,0.006519202405202649,,
mismatch,3,SMC,0.0,2,0.03659633109956172,0.013014373534144088,1.760441694914559e-05,3.867859540397617e-06,1.5506520867347717e-06,1.0971351502992102e-06,0.6183666141731411,0.18827887763360507,0.0,0.0,,
mismatch,3,SMC,2.0,2,0.15353511463976927,0.05598825659254257,0.336252374091634,0.020248401451964965,0.4121665135025978,0.35314767449279577,6.178977749768121,2.177208722011705,0.005,0.0035355339059327377,,
pulse,2,LQR,0.0,2,0.43354471727068816,0.0229557102984777,0.10303471596152694,0.00420397981173337,0.0055040717124938965,0.0004698530671994467,6.3944595757228235,0.5138023949885525,0.01,0.0,2.4184740325853005,0.04911179566196183
pulse,2,PPO,0.0,6,0.3743871553989639,0.02585958045958545,0.09315643325034116,0.028890539003828323,0.06197848916053772,0.021239352343987206,11.550857949454992,0.9203463617237108,0.02333333333333333,0.0020412414523193157,2.0465003674313933,0.1254729753062373
pulse,2,SMC,0.0,2,0.5914598295064675,0.019772429957088705,0.14591914991399757,0.004004852001492952,0.00991174578666687,0.0005491312892484384,1.218875401994206,0.4208393922760604,0.0,0.0,3.3456253464848027,0.0015574707553468762
pulse,3,LQR,0.0,2,0.30948648483371277,0.006716826644704834,0.06126203246552635,0.0011624175779555996,0.004672437906265259,0.00014317284439150702,5.135873296764726,0.03482204822206183,0.01,0.0,1.6859699361146756,0.009537294635724624
pulse,3,PPO,0.0,6,0.23802183339146868,0.0016782543578855843,0.025728624605347594,0.000710030720096225,0.015672415494918823,0.004535366908564026,16.070761575062352,3.456795625361396,0.04708333333333334,0.009409658158863514,1.3073559342875807,0.011058792202838045
pulse,3,SMC,0.0,2,0.34887853482746267,0.004830905918402681,0.15250302421182027,0.008514896161998822,0.03191074728965759,0.0017203922093661835,1.6319923870283997,0.014323614239033455,0.0,0.0,1.8691909033434455,0.04903686049179768
