scenario,node,method,mismatch,num_runs,num_controller_seeds,mae_mean,mae_std,rmse_mean,rmse_std,steady_l1_mean,steady_l1_std,final_l1_mean,final_l1_std,energy_u_mean,energy_u_std,saturation_fraction_mean,saturation_fraction_std,max_post_pulse_mean,max_post_pulse_std,mean_post_pulse_error_mean,mean_post_pulse_error_std
mismatch,2,LQR,0.0,20,1,0.09069465470204849,0.07554084795221791,0.3003675720314937,0.22318775244868388,2.023535435674367e-07,2.5710509610809475e-07,5.043111741542816e-08,1.1778320189625107e-07,3.775851110769346,3.3230010037301754,0.006500000000000001,0.007838837185517545,,,,
mismatch,2,LQR,0.5,20,1,0.12969213694022233,0.06132410690338618,0.33264184886332465,0.1835243527900316,0.10909251163334206,0.05413934011046291,0.06682240479858592,0.070702908655086,5.281898055686232,3.5445249692832945,0.009375000000000003,0.008954379992642236,,,,
mismatch,2,LQR,1.0,20,1,0.16336520572815397,0.06771884034626956,0.35190504421501506,0.1814032054368598,0.2168660181805917,0.11338811421413225,0.13519350891001522,0.1432264312933405,5.345948737141465,3.5731828977090676,0.009375000000000003,0.008954379992642236,,,,
mismatch,2,LQR,1.5,20,1,0.1978226786451,0.08164010765867895,0.3792861366760706,0.1826691944648609,0.3253007332391945,0.18390941185411783,0.20491506739053875,0.21961871573108455,5.444662008295617,3.6047661973309366,0.009375000000000003,0.008954379992642236,,,,
mismatch,2,LQR,2.0,20,1,0.23298215126299984,0.10211199669431545,0.4128265676065572,0.1919777020125237,0.4357401173855006,0.26988688205765504,0.2776608735555783,0.301038505390148,5.576733804264058,3.643335064527832,0.009375000000000003,0.008954379992642236,,,,
mismatch,2,Linear,0.0,20,1,1.7188085825037338,0.5901316553169413,2.2896835343997166,0.6848995114900612,4.986702024157699,2.6279609326123885,5.575336551666259,2.8793313043088027,3.6419427528831037,1.6635898089785623,0.0,0.0,,,,
mismatch,2,Linear,0.5,20,1,1.9945118438588736,0.38003324680948064,2.6187215093016865,0.38462579201951874,5.821461637106575,2.132219549315912,5.928853101283312,2.3585033569624074,4.340307444168369,1.1597964138233148,0.0,0.0,,,,
mismatch,2,Linear,1.0,20,1,1.9623654918378204,0.4310542897804698,2.56550918547141,0.4773229774137571,5.687340267131359,2.0990597678478222,5.9018555276095865,2.3217502216400803,4.202732405121906,1.3288207099509926,0.0,0.0,,,,
mismatch,2,Linear,1.5,20,1,1.9699163773924677,0.3908682612642094,2.5814964485560865,0.4154278574652831,5.78172162970827,1.943425572204247,5.925801676511765,2.296852655217252,4.2060645528967076,1.276771850676725,0.0,0.0,,,,
mismatch,2,Linear,2.0,20,1,1.9780902042107442,0.35589262367387603,2.593133708751236,0.3747622018159441,5.902504062450227,1.7866764821642642,5.953269129991531,2.290149000382562,4.1978125214847255,1.267427881468942,0.0,0.0,,,,
mismatch,2,PPO,0.0,60,3,0.0929981289513692,0.07331881807286514,0.2863257572069679,0.22464704303646094,0.04255003026902672,0.01758397956103889,0.03469352051615715,0.03025535253320978,9.088689533636172,6.680523355985504,0.02183333333333333,0.018214044373213174,,,,
mismatch,2,PPO,0.5,60,3,0.11154866376195548,0.06424927375461657,0.31494876693311774,0.19328441024143195,0.06349903814683366,0.03339176952875404,0.05041777058892573,0.05941160741705014,11.271510155639202,6.955129950912449,0.028249999999999997,0.019777898124858667,,,,
mismatch,2,PPO,1.0,60,3,0.1288883985108185,0.0687037335304086,0.32273411913544714,0.19780973183605224,0.10294928053042317,0.04628139095300154,0.08043205736515423,0.09688017105781525,11.359279345448508,7.112002659283669,0.02804166666666667,0.01981424151126322,,,,
mismatch,2,PPO,1.5,60,3,0.1486494354984921,0.07626430289297802,0.33435086025470556,0.2037009468558209,0.1482551190680192,0.057974985115511184,0.11452369280935576,0.13176131951661715,11.547328257420395,7.395478823734104,0.028166666666666666,0.020083863719934567,,,,
mismatch,2,PPO,2.0,60,3,0.1702594470683129,0.08808097977307414,0.35012079759194864,0.21231440086085562,0.1966029342506349,0.07265763776050027,0.15001567126018928,0.16521651354065478,11.845567609284256,7.788156199424364,0.02854166666666667,0.020963505752767776,,,,
mismatch,2,SMC,0.0,20,1,0.10179208654525104,0.0834674705212661,0.30724014038623654,0.22916740892798557,3.6315685447109973e-06,3.839170016081481e-06,5.565118044614791e-07,7.29606545848728e-07,5.591954695085559,3.93352973392924,0.014750000000000003,0.011029267284915406,,,,
mismatch,2,SMC,0.5,20,1,0.13735424536303076,0.06746061581695775,0.3386246031780087,0.18911324950057082,0.09806199674494565,0.046317576876905235,0.07116432217881083,0.0817091966239178,7.534516506997955,3.888093769107658,0.019875000000000004,0.010835947727720669,,,,
mismatch,2,SMC,1.0,20,1,0.16492119517503656,0.06923237193980265,0.3542798100211913,0.18778761106129743,0.19280523070318187,0.0920383583453702,0.1414853809401393,0.16540841156103012,7.601783975579503,3.9101884666923574,0.019750000000000004,0.010909315189082074,,,,
mismatch,2,SMC,1.5,20,1,0.19330746621478556,0.07674220263021599,0.3764632147857058,0.1880897354275902,0.2859146687411991,0.14203076740255804,0.21091469251550735,0.2515684952080265,7.710097633793784,3.952155985860398,0.019750000000000004,0.010909315189082074,,,,
mismatch,2,SMC,2.0,20,1,0.22234904026222263,0.08943628766616005,0.403849208966914,0.19291836392703263,0.3785707473338088,0.19981749728857537,0.28217750748153775,0.3393437709843564,7.844128933271873,3.99573226902934,0.019875000000000004,0.011046403320347734,,,,
mismatch,3,LQR,0.0,20,1,0.050989270932401576,0.020949506345984803,0.16646488478609361,0.05703335294822795,2.235403326828677e-05,2.5466807419046515e-05,4.323991015553475e-06,4.179233088304244e-06,2.648745658842392,2.202997524479642,0.002125,0.0044629321256204136,,,,
mismatch,3,LQR,0.5,20,1,0.05743675992986906,0.02166163077614537,0.14644324663660457,0.054207293697553754,0.04249063862277839,0.020525709844899025,0.041730226401705296,0.047724959746989294,3.38517490983514,2.303266504837368,0.003125,0.004579344356656541,,,,
mismatch,3,LQR,1.0,20,1,0.07106357158607039,0.024454505810597906,0.15323179906140838,0.05274546453565955,0.08421336560751552,0.040333388281367406,0.08268857195507735,0.0941201806727627,3.416549262681903,2.305322605510963,0.003125,0.004579344356656541,,,,
mismatch,3,LQR,1.5,20,1,0.08493770055620137,0.028490221490455814,0.16273774577148972,0.05202170020447665,0.12539184722161195,0.059901764928341136,0.12298428136855363,0.1394622626683783,3.474554572712237,2.3071458191744902,0.003125,0.004579344356656541,,,,
mismatch,3,LQR,2.0,20,1,0.09890870556683555,0.033326064266823864,0.17422968367045094,0.05274066304272222,0.16621115719554602,0.07962969176277362,0.16271671976428478,0.18414123706099497,3.559241243307054,2.310007896136075,0.003125,0.004579344356656541,,,,
mismatch,3,Linear,0.0,20,1,0.04143122427197273,0.01924975449091498,0.14620208868210277,0.05599574952760263,3.743263773180337e-05,4.464184274411786e-05,1.2006098404526711e-05,1.6610490802395292e-05,4.706809149286341,2.4137635996811184,0.010499999999999999,0.00813536787897854,,,,
mismatch,3,Linear,0.5,20,1,0.0450043623121167,0.02259005416357746,0.13101557363379818,0.06070862572540485,0.028191929380984315,0.017118172327516102,0.023171448637731372,0.023012083501116592,4.982270530543176,1.6905697849078856,0.012375000000000002,0.005286215938397562,,,,
mismatch,3,Linear,1.0,20,1,0.05321642508517299,0.02416451535556198,0.13475706972431603,0.05955008614776739,0.05637793438983392,0.03431503060188724,0.04632662059739232,0.04613447782100575,5.013940733435805,1.6862320149429257,0.012250000000000002,0.005250313273861304,,,,
mismatch,3,Linear,1.5,20,1,0.062012230171232675,0.02653065938420618,0.1405267993934146,0.058640066838481456,0.08457208244966483,0.051624440249295314,0.06946153999306262,0.06936410572338775,5.062341198584757,1.6879945804641836,0.012125000000000002,0.005335765618619516,,,,
mismatch,3,Linear,2.0,20,1,0.07112321638773525,0.029403675274474263,0.14790046860863007,0.05846777997383493,0.11276965002661547,0.06904415033447388,0.09256876705912873,0.09269506421454768,5.131679860661064,1.6878512809625974,0.012000000000000002,0.005104177855340403,,,,
