scenario,node,method,controller_seed,test_seed,mismatch,pulse_step,linear_gain,smc_reaching_gain,smc_boundary_width,mae,rmse,mean_l1,steady_l1,final_l1,mean_abs_u,energy_u,saturation_fraction,max_post_pulse,mean_post_pulse_error
mismatch,2,Linear,-1,100,0.0,-1,4.0,,,2.8278715977149513,3.7037603925355964,8.483614793144854,9.835914250325274,12.580335021018982,1.3891154839808209,44.625477757655716,0.0,,
mismatch,2,LQR,-1,100,0.0,-1,,,,0.039891310170597105,0.1758914884532418,0.1196739305117913,2.9156145490246054e-07,1.1920928955078125e-07,0.01770788123337711,0.11359332815652486,0.0,,
mismatch,2,SMC,-1,100,0.0,-1,,16.0,0.5,0.045947361044126625,0.18083208990790045,0.13784208313237986,1.0714636264759817e-06,2.384185791015625e-07,0.028976022869539302,0.5746832625002044,0.0,,
mismatch,2,PPO,1024,100,0.0,-1,,,,0.04378619647707948,0.1680489185362422,0.13135858943123843,0.02279623132199049,0.005300581455230713,0.09321030374254075,5.064832514353172,0.01,,
mismatch,2,PPO,123,100,0.0,-1,,,,0.050650483402961605,0.16812074383269043,0.15195145020888481,0.04614214107026288,0.023879051208496094,0.06317512040720913,2.4323675719847113,0.005,,
mismatch,2,PPO,42,100,0.0,-1,,,,0.04717061474918545,0.16743956956885384,0.14151184424755636,0.04244261483351389,0.018027007579803467,0.134648198024962,6.060362133656874,0.01,,
mismatch,3,Linear,-1,100,0.0,-1,8.0,,,0.021983703159524325,0.12015840320695287,0.06595110947857297,3.5415897950714015e-06,5.960464477539062e-07,0.05204778279356677,1.7570844704096584,0.0025,,
mismatch,3,LQR,-1,100,0.0,-1,,,,0.03367172317472553,0.14910792496120948,0.1010151695241766,2.7512763569384443e-06,5.960464477539062e-07,0.03009444950940024,0.24580829794185188,0.0,,
mismatch,3,SMC,-1,100,0.0,-1,,16.0,0.5,0.04380632101202806,0.14993154000149925,0.1314189630360842,1.413968426209909e-05,7.748603820800781e-07,0.04939553428077732,1.3999558457941785,0.0025,,
mismatch,3,PPO,1024,100,0.0,-1,,,,0.021055429932914507,0.11487763825505727,0.06316628979874352,0.0074458162840685726,0.003931820392608643,0.09813068359347056,6.029509163254093,0.015,,
mismatch,3,PPO,123,100,0.0,-1,,,,0.022437051052215228,0.11580216768989873,0.0673111531566457,0.0162954175453863,0.02680516242980957,0.10512226755310436,6.8201264212239625,0.02,,
mismatch,3,PPO,42,100,0.0,-1,,,,0.021083370022783838,0.11437514979352915,0.06325011006835152,0.005847835194687416,0.01441943645477295,0.08994079871739533,5.346805191828404,0.015,,
mismatch,2,Linear,-1,100,2.0,-1,4.0,,,2.9348543072653532,3.8441914925585143,8.804562921796059,8.106231827794769,7.643933951854706,1.517631460009073,54.10926932479754,0.0,,
mismatch,2,LQR,-1,100,2.0,-1,,,,0.16447942878304672,0.2807124474423188,0.4934382863491402,0.3726515380412708,0.06458660215139389,0.20005862927049783,6.596449297039782,0.0125,,
mismatch,2,SMC,-1,100,2.0,-1,,16.0,0.5,0.1373566811600838,0.26055696071721596,0.41207004348025134,0.21720903247226903,0.036580467596650124,0.2184893839894312,9.002263142290781,0.0225,,
mismatch,2,PPO,1024,100,2.0,-1,,,,0.0912359211476193,0.23960422459748434,0.2737077634428579,0.07801068038392214,0.03258253075182438,0.26880424956505433,13.91836690771286,0.035,,
mismatch,2,PPO,123,100,2.0,-1,,,,0.10738323772549072,0.24247293044723423,0.3221497131764722,0.12280203537141651,0.03046824410557747,0.24859987061814476,11.252089687696746,0.025,,
mismatch,2,PPO,42,100,2.0,-1,,,,0.10460700982785222,0.24179310135435256,0.31382102948355667,0.11892387532502596,0.04379919357597828,0.25765671249376865,12.334270409683759,0.03,,
mismatch,3,Linear,-1,100,2.0,-1,8.0,,,0.08971632397729758,0.13626980403569394,0.26914897193189274,0.16950894265585106,0.08782175183296204,0.1668635658046551,3.995204443868703,0.0075,,
mismatch,3,LQR,-1,100,2.0,-1,,,,0.08613664722372023,0.12317202573191828,0.2584099416711607,0.15735894190952365,0.07257950119674206,0.17949745262660344,3.7080507685736195,0.0,,
mismatch,3,SMC,-1,100,2.0,-1,,16.0,0.5,0.11903259020023116,0.14794581273533947,0.3570977706006935,0.3797936770651076,0.17099562659859657,0.19920408151239072,6.1589773312864065,0.0175,,
mismatch,3,PPO,1024,100,2.0,-1,,,,0.086131341791776,0.13150462466843257,0.258394025375328,0.1411513631766731,0.07543060928583145,0.1917411873019544,6.470022830791954,0.0175,,
mismatch,3,PPO,123,100,2.0,-1,,,,0.08219852548050799,0.11750088063477665,0.24659557644152397,0.12897228797391794,0.05615520477294922,0.19303483349686845,5.710407709892388,0.015,,
mismatch,3,PPO,42,100,2.0,-1,,,,0.08049552138981503,0.11487141316093376,0.24148656416944508,0.12915153080528533,0.05617023445665836,0.1901272962664131,5.450741620108416,0.015,,
pulse,2,Linear,-1,100,0.0,200,4.0,,,2.06684331601162,2.863017512758977,6.20052994803486,5.120797063833401,11.279177188873291,1.2296431185375722,46.87483281982003,0.0375,17.51880407333374,5.543211854530952
pulse,2,LQR,-1,100,0.0,200,,,,0.4497768556896956,1.028457961652213,1.349330567069087,0.10600737859437495,0.005836308002471924,0.17833768173108877,6.0311464180365295,0.01,15.000048637390137,2.453201316334122
pulse,2,SMC,-1,100,0.0,200,,16.0,0.5,0.49215618097505914,1.071876957293067,1.4764685429251774,0.1592440596425239,0.012399137020111084,0.19702978042461633,8.868784503642862,0.02,15.000078678131104,2.67064718377605
pulse,2,PPO,1024,100,0.0,200,,,,0.3597241091744778,0.9235581024512539,1.0791723275234333,0.06825267325764821,0.06020742654800415,0.2490681140425794,11.608772076043525,0.025,15.000596046447754,1.909479943433063
pulse,2,PPO,123,100,0.0,200,,,,0.3970023929323391,0.9502702488895598,1.1910071787970173,0.0820955997907821,0.08557325601577759,0.24617088140171958,10.80284910761014,0.02,14.993513107299805,2.115326482121513
pulse,2,PPO,42,100,0.0,200,,,,0.4052913954153623,0.9568891614372909,1.215874186246087,0.13015732840623384,0.038045644760131836,0.3026523217187261,13.256275862827454,0.025,15.006716251373291,2.1758926722837324
pulse,3,Linear,-1,100,0.0,200,8.0,,,0.23191426334328213,0.7585567573160028,0.6957427900298464,0.02361347379139912,0.004135847091674805,0.25027202764651424,14.70131740721104,0.04,14.999812602996826,1.256507880791132
pulse,3,LQR,-1,100,0.0,200,,,,0.31423599850223805,0.8108263322410907,0.9427079955067141,0.060440079113583504,0.004571199417114258,0.14102298178212302,5.111250390332101,0.01,14.999873161315918,1.6792260504035808
pulse,3,SMC,-1,100,0.0,200,,16.0,0.5,0.3302699078069125,0.8083867451811505,0.9908097234207375,0.13391270046984707,0.028338730335235596,0.17958126812307154,8.17241000749792,0.0225,15.000359058380127,1.7146190962758823
pulse,3,PPO,1024,100,0.0,200,,,,0.23593904402905166,0.7590848880047916,0.707817132087155,0.02508088187487037,0.010466575622558594,0.33464456907011325,21.592737090248534,0.0625,14.998425960540771,1.2923764570324279
pulse,3,PPO,123,100,0.0,200,,,,0.23777845746304155,0.76223170343681,0.7133353723891247,0.025281353451219606,0.02085292339324951,0.2613073113145646,16.965666972682413,0.05,14.999324798583984,1.30433960806634
pulse,3,PPO,42,100,0.0,200,,,,0.2383865732418997,0.7623987826692146,0.7151597197256991,0.026486888665843894,0.015577971935272217,0.24143735676112021,15.225022453429132,0.045,14.999712944030762,1.3069425992000459
