model,node,training_seed,evaluation_seed,largest_conditional_exponent,middle_conditional_exponent,smallest_conditional_exponent,largest_exponent_negative,post_burn_error_mean,post_burn_error_p95,post_burn_error_max,post_burn_action_abs_max,post_burn_action_abs_mean
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,1,-1.2985451435290392,-1.3334402158378595,-11.782570384123115,True,0.017212114433932585,0.03893436808139084,0.07376024127006531,0.050219811499118805,0.004567616349086165
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,2,-1.3073047771624788,-1.3491346967628877,-11.778504525890359,True,0.01748089152490138,0.044639340229332435,0.06809506565332413,0.04369519650936127,0.004808481009677052
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,3,-1.294280685388305,-1.3532127781552536,-11.775967442465056,True,0.0179484107074677,0.045312411524355355,0.06813617795705795,0.04361822456121445,0.004950158847495913
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,4,-1.3216425587441065,-1.355840786286579,-11.797551755117857,True,0.017935299980599666,0.04396713618189093,0.06558568775653839,0.04090099781751633,0.0047585179656744
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,5,-1.3193085479571476,-1.339929732305735,-11.785449535861735,True,0.01977267022433807,0.046007101237773886,0.07070305198431015,0.046489208936691284,0.005144030768424273
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,6,-1.2793721799436857,-1.3191609411739693,-11.79291232173083,True,0.017835640127887017,0.046225748769938936,0.08527340739965439,0.06364759802818298,0.004808516195043922
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,7,-1.3136831790562593,-1.3286604971806086,-11.779009279784855,True,0.01613228491114569,0.039607528410851946,0.05024750158190727,0.023730069398880005,0.0038941466342657803
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,8,-1.3007735935055504,-1.3495484635398292,-11.794533905002199,True,0.01966699093565694,0.04840599112212656,0.057451099157333374,0.031982555985450745,0.004645184362307191
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,9,-1.3485782485009516,-1.3595936891962892,-11.793502419711825,True,0.016896104882180227,0.04263507965952156,0.06957082450389862,0.04537974298000336,0.004188060341402888
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,10,-1.3196840036927258,-1.3649034897744428,-11.789337896300278,True,0.01634215408412274,0.03810803890228271,0.06782665103673935,0.043392032384872437,0.004544120877981186
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,1,-1.1360922067178842,-1.2134865062706062,-70.65388074357764,True,0.03359314675035421,0.07688933871686454,0.13016296923160553,0.0626736581325531,0.006097427941858769
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,2,-1.1557499244723892,-1.2182386997277956,-70.72350438304336,True,0.035398160081240346,0.081786497682333,0.12296309322118759,0.05584128201007843,0.006672940328717232
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,3,-1.1335358929763883,-1.2323104587961544,-70.62166914786188,True,0.0356270913395565,0.0814408034086227,0.12298107147216797,0.0560259073972702,0.006778606865555048
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,4,-1.1593368957363337,-1.2358443046218948,-70.92651307641731,True,0.03736110908153933,0.08194740861654279,0.11983311176300049,0.0530095100402832,0.007134367134422064
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,5,-1.170441436805826,-1.2089436549758774,-70.57342247734775,True,0.03928024543623906,0.08962880410253998,0.1263386607170105,0.05930778384208679,0.007356204427778721
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,6,-1.1385386783573457,-1.1793748026833295,-70.63851634092391,True,0.036577766761765815,0.08282330892980097,0.14307188987731934,0.0764913558959961,0.0068145208805799485
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,7,-1.1756896894318334,-1.1828482511498366,-70.63573477975928,True,0.033871202804148196,0.07585804872214787,0.09981177002191544,0.032547637820243835,0.005705826506018638
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,8,-1.1601646243563646,-1.2076765070640867,-70.86887886386849,True,0.04022514981799759,0.09263203367590903,0.10954350233078003,0.0432552695274353,0.006724660079926253
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,9,-1.1991603686511696,-1.2218666076019802,-71.62419924985491,True,0.03751445820147637,0.08659119755029678,0.12503762543201447,0.05787752568721771,0.006921551935374737
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,10,-1.1879073689180868,-1.213879267219762,-70.86700072367276,True,0.03467757955717388,0.07531096599996089,0.12276666611433029,0.05584394931793213,0.006707702148705721
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,1,-0.9261226045604383,-1.047048760817027,-1.1496978579854722,True,0.02718544139919686,0.06994097344577312,0.13050544261932373,0.05567452311515808,0.0054680169327184554
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,2,-0.9632416123256903,-0.9768367216385669,-1.1924577241189558,True,0.02712008447851986,0.08058037720620631,0.12104131281375885,0.04854383319616318,0.005627702032215893
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,3,-0.9073626534267832,-1.0462342762167234,-1.1738359822065525,True,0.02803823342139367,0.08224798887968059,0.12101180106401443,0.048503100872039795,0.005793909155763686
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,4,-0.9202065088191876,-1.0507279402450502,-1.1753572735501012,True,0.02629441404773388,0.07944981232285499,0.11673940718173981,0.04553373157978058,0.005463991858996451
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,5,-0.9371788021768779,-1.0452645522023996,-1.1493226605955589,True,0.02802536074159434,0.07932359650731079,0.12511537969112396,0.05197341740131378,0.005857307761907578
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,6,-0.8770285349322954,-1.0737385061085387,-1.145825800826866,True,0.028175140001403632,0.07093452922999857,0.14914026856422424,0.07125788182020187,0.0058429404627531765
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,7,-0.9753181949402151,-1.0043441031447253,-1.1474045585520483,True,0.025838492579641752,0.06899302117526528,0.08809490501880646,0.03383269160985947,0.004703431539237499
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,8,-0.9753278698666051,-0.9802661370010762,-1.1527900717995767,True,0.025684116841875947,0.08232876062393187,0.10176244378089905,0.035394661128520966,0.005183402127586305
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,9,-0.8765999642121072,-1.0878937741810026,-1.1958513224024014,True,0.02243742524537083,0.07051976099610328,0.12340229749679565,0.05048283189535141,0.004521952555514872
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,10,-1.0080354332398627,-1.028011493697598,-1.1238686562250986,True,0.025623806619350945,0.06450099945068356,0.12059227377176285,0.0484209768474102,0.005194458346813917
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,1,-0.5609644472012604,-7.1540534771014395,-33.64658774118136,True,0.004984810060777818,0.009925111429765817,0.013575797900557518,0.0062128156423568726,0.001173500306904316
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,2,-0.5522847650309121,-7.2330634429742515,-33.61136751005323,True,0.004971597618568921,0.01031615319661796,0.012676111422479153,0.005408540368080139,0.0012472435273230076
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,3,-0.5533710816495236,-7.24569593157644,-33.66302727189754,True,0.00505851252033608,0.010717702237889171,0.012681791558861732,0.005403950810432434,0.0012506908550858498
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,4,-0.5559352554879099,-7.1270898602245385,-33.339133712581216,True,0.0048574526234006045,0.010250104684382677,0.012274139560759068,0.005049586296081543,0.001134907938539982
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,5,-0.5590813358567213,-7.110309212678945,-33.29422243021601,True,0.0051191629901586565,0.010047552455216647,0.013073975220322609,0.005776733160018921,0.0013366669416427612
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,6,-0.5761174299076781,-6.975105832987015,-33.44774964242719,True,0.004929112878016895,0.009392474172636864,0.015307443216443062,0.007641255855560303,0.0013165176287293434
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,7,-0.5586750743345548,-7.169985377270886,-33.653450004000376,True,0.004911990857799538,0.008642107946798205,0.011117885820567608,0.004336297512054443,0.0012612037919461727
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,8,-0.5530287377895263,-7.240939300207218,-33.454399631296,True,0.004685808186477516,0.009970164485275742,0.011084508150815964,0.004252403974533081,0.001105434913188219
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,9,-0.5433836039728958,-7.312464293773848,-33.66158728306622,True,0.004226813851346378,0.008759454591199756,0.012897221371531487,0.005659550428390503,0.0010635694302618503
ppo_continuous_hopfield_node3_final_seed_1024.zip,3,1024,10,-0.5529968023300337,-7.187961072672827,-33.52636457366007,True,0.004848329517481034,0.00949957338161766,0.012639648281037807,0.005368292331695557,0.00117165369912982
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,1,-0.5821607992485914,-7.371833687300459,-14.408837998877015,True,0.010187912744586356,0.020577616710215806,0.024136746302247047,0.007486789487302303,0.0018005707900738343
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,2,-0.5780744766951255,-7.442106908047149,-14.360165981490832,True,0.010392485011325335,0.021481430996209378,0.023695414885878563,0.007021094672381878,0.001731671727466164
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,3,-0.5790073038368784,-7.453978877357807,-14.378152161001157,True,0.010182022133158171,0.021640613861382007,0.02364375628530979,0.006909477524459362,0.0017159998984425328
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,4,-0.5790851213257119,-7.337645828415726,-14.273751907145728,True,0.011811035096470732,0.02191067272797226,0.025697961449623108,0.007921568118035793,0.0020952606390346774
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,5,-0.5824805662540875,-7.321249178090615,-14.264524718547065,True,0.011723681706207571,0.02094448311254382,0.02364831417798996,0.007313746027648449,0.0019444286497309804
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,6,-0.5884311290160021,-7.216571993748386,-14.393086218483836,True,0.010860744878154947,0.021594139281660315,0.027076290920376778,0.00921687763184309,0.00256462179517257
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,7,-0.5808053263435401,-7.385809636860581,-14.400751205931465,True,0.010414568094493006,0.02016173265874386,0.021131012588739395,0.007327358238399029,0.0019330410652037245
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,8,-0.5770919805056385,-7.4552331743605365,-14.28026219863587,True,0.011550365593138849,0.021931550465524197,0.022966157644987106,0.007374870590865612,0.0018681357862078585
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,9,-0.5697753675444704,-7.514669193693125,-14.321284907154398,True,0.011126948915989487,0.021596456505358217,0.023478403687477112,0.007649821229279041,0.0022328729469154496
ppo_continuous_hopfield_node3_final_seed_123.zip,3,123,10,-0.577939383189114,-7.39127385909287,-14.330619055770327,True,0.01106578026621719,0.0229117545299232,0.025187408551573753,0.007612760178744793,0.001982158191385679
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,1,-0.5842571933977976,-6.220211971310322,-24.30323095645667,True,0.005657379987897002,0.012657906627282497,0.01533589605242014,0.007187999784946442,0.001451204428449273
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,2,-0.5806137296742614,-6.283017176112424,-24.31757532005028,True,0.005822350421076408,0.013691766001284123,0.014956261031329632,0.006903335452079773,0.0014288729894906282
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,3,-0.5815822541495355,-6.292692727644312,-24.3379138895543,True,0.005813240759889596,0.013790003675967452,0.014949825592339039,0.006890319287776947,0.001431404398754239
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,4,-0.5812781099089944,-6.196293474644092,-24.26256562762687,True,0.006386421452480136,0.013621446443721652,0.014753741212189198,0.006726771593093872,0.0015727491118013859
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,5,-0.5847427101924112,-6.182418810255139,-24.258932180448003,True,0.006473356514507031,0.013251936668530105,0.015113534405827522,0.007016025483608246,0.0016212743055075407
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,6,-0.589675869090468,-6.082456858957118,-24.261865897147622,True,0.006125656634103507,0.014413839252665638,0.016192886978387833,0.007702343165874481,0.0018702993635088204
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,7,-0.5830115887519558,-6.232523300001743,-24.289788356573077,True,0.005703533195119234,0.012734714383259413,0.01344333402812481,0.0058153048157691956,0.0014925778284668922
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,8,-0.5793671239974473,-6.2917441763846655,-24.39034080201954,True,0.006745161115832161,0.013752392726019025,0.014165902510285378,0.006337620317935944,0.001362464055418968
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,9,-0.5722570578601724,-6.346142318218625,-24.352271237595353,True,0.005690945503629336,0.013378144893795251,0.015032160095870495,0.006988145411014557,0.0015280132368206978
ppo_continuous_hopfield_node3_final_seed_42.zip,3,42,10,-0.5803764345046478,-6.243061307579087,-24.27419040903478,True,0.005944683408306446,0.013033335190266369,0.0149272745475173,0.006864137947559357,0.0015620539244264363
