model,node,training_seed,evaluation_seed,largest_conditional_exponent,middle_conditional_exponent,smallest_conditional_exponent,largest_exponent_negative,post_burn_error_mean,post_burn_error_p95,post_burn_error_max,post_burn_action_abs_max,post_burn_action_abs_mean
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,1,-1.3080459647573324,-1.308490172046666,-11.782005482082958,True,0.018497263729621315,0.045667647570371624,0.08110576868057251,0.05654224753379822,0.004999472965535365
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,2,-1.302323356498449,-1.3196106984255722,-11.780955679989711,True,0.01739924807744836,0.03984663281589746,0.07467200607061386,0.05117560178041458,0.004583434615480273
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,3,-1.2955676580943916,-1.3403395926201322,-11.778988407151507,True,0.018288081333555868,0.04507158063352107,0.07807403802871704,0.055209726095199585,0.004867380979029756
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,4,-1.2914405987472033,-1.3237171633830658,-11.789022426790044,True,0.018979724096073035,0.046501612290740006,0.08205989748239517,0.06002198904752731,0.005155754544233021
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,5,-1.2972766065387213,-1.3280906713977783,-11.787875101121667,True,0.020212353112139297,0.04753091186285018,0.07377921044826508,0.05296924710273743,0.005384001512276499
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,6,-1.317436023546279,-1.319273282673541,-11.791050928598432,True,0.01872257351415771,0.04621174931526184,0.08527340739965439,0.06364759802818298,0.0050163337627523825
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,7,-1.3024493676535533,-1.315742021249954,-11.77946066196927,True,0.017922104842421648,0.044642818346619595,0.0846778005361557,0.06328859180212021,0.004836543076916745
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,8,-1.3038405773561268,-1.3202143061927942,-11.785751277344717,True,0.019058846701610538,0.04778886120766401,0.08018357306718826,0.09559498727321625,0.005090755004631846
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,9,-1.2947320956078157,-1.3327564296286067,-11.792369467985159,True,0.01799123530894959,0.04363583028316498,0.07227542251348495,0.04835999011993408,0.004543522698314566
ppo_continuous_hopfield_node2_final_seed_1024.zip,2,1024,10,-1.3053268262761506,-1.3424375430102906,-11.776665979492265,True,0.01815347131298806,0.044016661867499335,0.11367648839950562,0.09004758298397064,0.0051361797514714695
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,1,-1.1125733006508527,-1.2249284962413967,-70.3283063253226,True,0.036268919907559295,0.08338629901409148,0.138168603181839,0.06899623572826385,0.006719070390651101
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,2,-1.1272983520811575,-1.2147432063306776,-70.41424488982548,True,0.033799910791414346,0.07282599732279776,0.13109919428825378,0.06403897702693939,0.006012184204239594
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,3,-1.1510339038154427,-1.2048799373441998,-70.46011192689141,True,0.03635051331262251,0.08400541059672832,0.13503514230251312,0.0680808424949646,0.006717593544407895
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,4,-1.1559118769524588,-1.180583650276497,-70.43011693599307,True,0.037811237375104896,0.08761518560349939,0.1397000551223755,0.07302965223789215,0.007084869240459643
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,5,-1.144812513387521,-1.2023498473727734,-70.35432012300772,True,0.03957460976463106,0.0905667707324028,0.12946607172489166,0.06272698938846588,0.007330239132830972
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,6,-1.1545935490868378,-1.202081657857559,-70.64582607845838,True,0.037875427171391876,0.08712861910462377,0.14307188987731934,0.0764913558959961,0.007188078808157068
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,7,-1.1256959211169024,-1.2120016531078368,-70.28941203829103,True,0.03591125862403332,0.0838410947471857,0.1424618661403656,0.07589177787303925,0.0067873822936886236
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,8,-1.1148946777125184,-1.2298454127692002,-70.39914242830379,True,0.03742775652655645,0.08831261470913886,0.13811138272285461,0.06824840605258942,0.006759796409230483
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,9,-1.1375166818880973,-1.2081809669695762,-70.83606466569137,True,0.036689074309052605,0.08275883607566355,0.12752382457256317,0.06100401282310486,0.006560541226675636
ppo_continuous_hopfield_node2_final_seed_123.zip,2,123,10,-1.136417926625297,-1.2315126506203546,-70.47444156215558,True,0.03509616721225412,0.07877520769834516,0.13696643710136414,0.06999644637107849,0.006708421350309723
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,1,-0.9489016472615905,-1.0243892463932367,-1.140938191888838,True,0.02838240880880652,0.07886067554354666,0.14651301503181458,0.09224093705415726,0.0062304258719086646
ppo_continuous_hopfield_node2_final_seed_42.zip,2,42,2,-0.9176166597517775,-1.0272872697989983,-1.1780986590884797,True,0.02737237977807557,0.07446347288787364,0.1317419707775116,0.05706941336393356,0.0057708902480570895
